id	name	description
1313	Abdihakin Ali	Mittfältare, aktiv 2012-2022, matcher 11
1462	Abdussalam Magashy	Mittfältare, aktiv 2023- ?, matcher 16
1220	Adam Ben Lamin	Back, aktiv 2011-2021, matcher 6
13	Admir Ćatović	Forward, aktiv 1999-2012, matcher 44
1243	Agustin Gomez	Back, aktiv 2017-2017, matcher 1
1426	Ahmad Faqa	Back, aktiv 2017-2022, matcher 17
1200	Ahmed Yasin	Mittfältare, aktiv 2016-2018, matcher 59
302	Åke "Carnera" Andersson	Yttermittfältare, aktiv 1939-1946, matcher 143
303	Åke "Gentile" Andersson	Ytterback, aktiv 1982-1984, matcher 29
530	Åke "Bulten" Andersson	Högerback, aktiv 1973-1975, matcher 26
348	Åke "Åke Andersson II" Andersson	Högerinner, aktiv 1944-1946, matcher 6
296	Åke "Sparven" Ericson	Högerytter, aktiv ? - ?, matcher 9
377	Åke "Frasse" Fransson	Högerinner, aktiv 1950-1952, matcher 24
376	Åke "Sampis" Sandberg	Målvakt, aktiv 1949-1951, matcher 12
264	Åke "Plockis" Sigrell	Vänsterinner, aktiv ? - ?, matcher 87
1222	Albin Linnér	Forward, aktiv 2017-2019, matcher 8
1433	Alexander Fesshaie	Forward, aktiv 2017-2022, matcher 19
67	Alexander Gerndt	Forward, aktiv 2007-2007, matcher 16
1202	Alexander Isak	Forward, aktiv 2005-2017, matcher 36
987	Alexander Milošević	Back, aktiv 2011-2019, matcher 212
632	Alexander "Salle" Östlund	Forward, aktiv 1991-1998, matcher 62
263	Algot "Agge" Haglund	Högerytter, aktiv 1928-1934, matcher 3
1073	Alhassan "Crespo" Kamara	Forward, aktiv 2012-2013, matcher 26
1205	Amin Affane	Mittfältare, aktiv 2016-2018, matcher 53
785	Ammar Ahmed	Mittfältare, aktiv ? -2007, matcher 
66	Anders Almgren	Målvakt, aktiv 1996-2008, matcher 17
551	Anders Åslund	Forward, aktiv 1976-1981, matcher 77
