id,name,desc,type,url
4,"Per ""Pertan"" Karlsson","Swedish association football player, played for AIK, Back, active 1998-2022",Q5,https://www.aikstats.se/player.php?id=4
8,"Daniel ""Tjerna"" Tjernström","Swedish association football player, played for AIK, Mittfältare, active 1999-2013",Q5,https://www.aikstats.se/player.php?id=8
200,"Nils-Eric ""Nisse"" Johansson","Swedish association football player, played for AIK, Back, active 1997-2018",Q5,https://www.aikstats.se/player.php?id=200
543,"Sven ""Dala"" Dahlkvist","Swedish association football player, played for AIK, Innerback, active 1974-1987",Q5,https://www.aikstats.se/player.php?id=543
270,"Gustav ""Gurra"" Sjöberg","Swedish association football player, played for AIK, Målvakt, active 1929-1950",Q5,https://www.aikstats.se/player.php?id=270
535,"Göran ""GG"" Göransson","Swedish association football player, played for AIK, Mittfältare, active 1970-1990",Q5,https://www.aikstats.se/player.php?id=535
59,"Krister ""Krille"" Nordin","Swedish association football player, played for AIK, Mittfältare, active 1992-2004",Q5,https://www.aikstats.se/player.php?id=59
1078,Henok Goitom,"Swedish association football player, played for AIK, Forward, active 2012-2021",Q5,https://www.aikstats.se/player.php?id=1078
81,"Kari ""Gary"" Sundgren","Swedish association football player, played for AIK, Ytterback, active 1987-2003",Q5,https://www.aikstats.se/player.php?id=81
610,"Thomas ""Tolle"" Lagerlöf","Swedish association football player, played for AIK, Mittfältare, active 1985-2008",Q5,https://www.aikstats.se/player.php?id=610
299,Börje Leander,"Swedish association football player, played for AIK, Centerhalv, active 1938-1953",Q5,https://www.aikstats.se/player.php?id=299
198,"Björn ""Björne"" Kindlund","Swedish association football player, played for AIK, Back, active 1978-1993",Q5,https://www.aikstats.se/player.php?id=198
255,"Sven ""Svenne, Vrålis"" Andersson","Swedish association football player, played for AIK, Högerback, active 1928-1941",Q5,https://www.aikstats.se/player.php?id=255
183,Björn Lundberg,"Swedish association football player, played for AIK, Forward, active 1967-1980",Q5,https://www.aikstats.se/player.php?id=183
12,Kenny Pavey,"Swedish association football player, played for AIK, Höger mittfältare, active 2006-2015",Q5,https://www.aikstats.se/player.php?id=12
63,"Stefan ""Ishi"" Ishizaki","Swedish association football player, played for AIK, Mittfältare, active 1999-2017",Q5,https://www.aikstats.se/player.php?id=63
259,"Eric ""Lillis"" Persson","Swedish association football player, played for AIK, Högerinner, active 1929-1959",Q5,https://www.aikstats.se/player.php?id=259
427,Lennart Backman,"Swedish association football player, played for AIK, Yttermittfältare, active 1959-1967",Q5,https://www.aikstats.se/player.php?id=427
184,Yngve Leback,"Swedish association football player, played for AIK, Forward, active 1971-1978",Q5,https://www.aikstats.se/player.php?id=184
437,"Björn ""Lill-Garvis"" Carlsson","Swedish association football player, played for AIK, Forward, active 1954-1968",Q5,https://www.aikstats.se/player.php?id=437
304,"Henry ""Garvis"" Carlsson","Swedish association football player, played for AIK, Inner, active 1939-1966",Q5,https://www.aikstats.se/player.php?id=304
22,Mats Rubarth,"Swedish association football player, played for AIK, Vänster mittfältare, active 2001-2008",Q5,https://www.aikstats.se/player.php?id=22
1103,"Nabil ""Nabbe"" Bahoui","Swedish association football player, played for AIK, Forward, active 2012-2022",Q5,https://www.aikstats.se/player.php?id=1103
284,"Erik ""Jerker"" Almgren","Swedish association football player, played for AIK, Halvback, active 1934-1964",Q5,https://www.aikstats.se/player.php?id=284
571,Bernt Ljung,"Swedish association football player, played for AIK, Målvakt, active 1981-1992",Q5,https://www.aikstats.se/player.php?id=571
987,Alexander Milošević,"Swedish association football player, played for AIK, Back, active 2011-2019",Q5,https://www.aikstats.se/player.php?id=987
455,"Owe ""Fiskar-Owe"" Ohlsson","Swedish association football player, played for AIK, Forward, active 1964-1976",Q5,https://www.aikstats.se/player.php?id=455
552,"Ove ""Ryssen, Ruben"" Rübsamen","Swedish association football player, played for AIK, Forward, active 1977-1985",Q5,https://www.aikstats.se/player.php?id=552
332,Lennart Carlsson,"Swedish association football player, played for AIK, Back, active 1947-1959",Q5,https://www.aikstats.se/player.php?id=332
217,"Per ""Pära, Napoleon"" Kaufeldt","Swedish association football player, played for AIK, Center, active 1918-1955",Q5,https://www.aikstats.se/player.php?id=217
840,Martin Lorentzson,"Swedish association football player, played for AIK, Ytterback, active 2010-2015",Q5,https://www.aikstats.se/player.php?id=840
188,"Pascal ""Pagge"" Simpson","Swedish association football player, played for AIK, Forward, active 1991-1998",Q5,https://www.aikstats.se/player.php?id=188
424,"Arne ""Lunkan"" Lundqvist","Swedish association football player, played for AIK, Målvakt, active 1955-1970",Q5,https://www.aikstats.se/player.php?id=424
1,Daniel Örlund,"Swedish association football player, played for AIK, Målvakt, active 2002-2010",Q5,https://www.aikstats.se/player.php?id=1
575,Thomas Bergman,"Swedish association football player, played for AIK, Mittfältare, active 1982-1988",Q5,https://www.aikstats.se/player.php?id=575
179,Börje Leback,"Swedish association football player, played for AIK, Mittfältare, active 1971-1978",Q5,https://www.aikstats.se/player.php?id=179
358,"Gösta ""Pröjsarn"" Nilsson","Swedish association football player, played for AIK, Forward, active 1945-1955",Q5,https://www.aikstats.se/player.php?id=358
276,"Valter ""Valle"" Sköld","Swedish association football player, played for AIK, Back, active 1933-1942",Q5,https://www.aikstats.se/player.php?id=276
1168,Ebenezer Ofori,"Swedish association football player, played for AIK, Ytterback, active 2013-2022",Q5,https://www.aikstats.se/player.php?id=1168
91,Martin Kayongo-Mutumba,"Swedish association football player, played for AIK, Mittfältare, active 1999-2013",Q5,https://www.aikstats.se/player.php?id=91
592,Kim Bergstrand,"Swedish association football player, played for AIK, Forward, active 1983-1994",Q5,https://www.aikstats.se/player.php?id=592
326,Harry Nilsson,"Swedish association football player, played for AIK, Högerback, active 1942-1950",Q5,https://www.aikstats.se/player.php?id=326
269,"Axel ""Acke, Lill-Acke"" Nilsson","Swedish association football player, played for AIK, Vänsterytter, active 1932-1941",Q5,https://www.aikstats.se/player.php?id=269
5,"Johan ""Kungen"" Mjällby","Swedish association football player, played for AIK, Mittfältare, active 1984-2006",Q5,https://www.aikstats.se/player.php?id=5
637,Michael Brundin,"Swedish association football player, played for AIK, Innerback, active 1996-2000",Q5,https://www.aikstats.se/player.php?id=637
1207,Sebastian Larsson,"Swedish association football player, played for AIK, Mittfältare, active 2018-2022",Q5,https://www.aikstats.se/player.php?id=1207
1077,Anton Salétros,"Swedish association football player, played for AIK, Mittfältare, active 2009-2019",Q5,https://www.aikstats.se/player.php?id=1077
205,"Nebojša ""Nesjo, Nebo"" Novaković","Swedish association football player, played for AIK, Forward, active 1998-2017",Q5,https://www.aikstats.se/player.php?id=205
174,Ronny Gustafsson,"Swedish association football player, played for AIK, Målvakt, active 1959-1977",Q5,https://www.aikstats.se/player.php?id=174
441,"Jim ""Jimpa"" Nildén","Swedish association football player, played for AIK, Mittfältare, active 1953-1975",Q5,https://www.aikstats.se/player.php?id=441
1218,Bilal Hussein,"Swedish association football player, played for AIK, Mittfältare, active 2014-2018",Q5,https://www.aikstats.se/player.php?id=1218
27,"Daniel ""Hochen"" Hoch","Swedish association football player, played for AIK, Forward, active 1997-2005",Q5,https://www.aikstats.se/player.php?id=27
15,Jimmy Tamandi,"Swedish association football player, played for AIK, Ytterback, active 2002-2007",Q5,https://www.aikstats.se/player.php?id=15
468,Göran Åberg,"Swedish association football player, played for AIK, Högerback, active 1960-1987",Q5,https://www.aikstats.se/player.php?id=468
406,Björn Anlert,"Swedish association football player, played for AIK, Högerhalv, active 1947-1966",Q5,https://www.aikstats.se/player.php?id=406
558,"Göran ""Riala"" Karlsson","Swedish association football player, played for AIK, Innerback, active 1978-1984",Q5,https://www.aikstats.se/player.php?id=558
189,Dick Lidman,"Swedish association football player, played for AIK, Forward, active 1992-1997",Q5,https://www.aikstats.se/player.php?id=189
611,Magnus Hedman,"Swedish association football player, played for AIK, Målvakt, active 1987-1997",Q5,https://www.aikstats.se/player.php?id=611
82,"Karl ""Kalle Kula"" Corneliusson","Swedish association football player, played for AIK, Högerback, active 1999-2003",Q5,https://www.aikstats.se/player.php?id=82
193,Ola Andersson,"Swedish association football player, played for AIK, Mittfältare, active 1995-2008",Q5,https://www.aikstats.se/player.php?id=193
440,Lennart Hemming,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=440
808,Niklas Backman,"Swedish association football player, played for AIK, Mittback, active 2009-2014",Q5,https://www.aikstats.se/player.php?id=808
218,"Sven ""Linkan"" Lindqvist","Swedish association football player, played for AIK, Högerhalv, active 1920-1931",Q5,https://www.aikstats.se/player.php?id=218
221,"Ernst ""Sudden, Ärtan"" Wahlberg","Swedish association football player, played for AIK, Vänsterinner, active 1923-1934",Q5,https://www.aikstats.se/player.php?id=221
242,"John ""Jompa"" Nilsson","Swedish association football player, played for AIK, Högerytter, active 1925-1936",Q5,https://www.aikstats.se/player.php?id=242
405,Bengt Anlert,"Swedish association football player, played for AIK, Vänsterhalv, active 1947-1961",Q5,https://www.aikstats.se/player.php?id=405
617,"Mattias ""Musse"" Johansson","Swedish association football player, played for AIK, Mittfältare, active 1993-1997",Q5,https://www.aikstats.se/player.php?id=617
64,Martin Åslund,"Swedish association football player, played for AIK, Mittfältare, active 1981-2005",Q5,https://www.aikstats.se/player.php?id=64
30,Dulee Johnson,"Swedish association football player, played for AIK, Defensiv mittfältare, active 2006-2011",Q5,https://www.aikstats.se/player.php?id=30
565,Jyrki Nieminen,"Swedish association football player, played for AIK, Forward, active 1979-1984",Q5,https://www.aikstats.se/player.php?id=565
777,Viktor Lundberg,"Swedish association football player, played for AIK, , active 2009-2013",Q5,https://www.aikstats.se/player.php?id=777
422,"Kurt ""Kurre"" Andersson","Swedish association football player, played for AIK, Högerytter, active 1957-1971",Q5,https://www.aikstats.se/player.php?id=422
180,"Rolf ""Roffe Zäta"" Zetterlund","Swedish association football player, played for AIK, Mittfältare, active 1972-1986",Q5,https://www.aikstats.se/player.php?id=180
576,Thomas Johansson,"Swedish association football player, played for AIK, Forward, active 1981-1989",Q5,https://www.aikstats.se/player.php?id=576
393,"Ingvar ""Tjotta"" Olsson","Swedish association football player, played for AIK, Center, active 1951-1958",Q5,https://www.aikstats.se/player.php?id=393
453,Roland Grip,"Swedish association football player, played for AIK, Vänsterytter, active 1964-1970",Q5,https://www.aikstats.se/player.php?id=453
236,Hugo Sjögren,"Swedish association football player, played for AIK, Vänsterhalv, active 1926-1937",Q5,https://www.aikstats.se/player.php?id=236
460,"Roland ""Rimbo"" Lundblad","Swedish association football player, played for AIK, Forward, active 1966-1970",Q5,https://www.aikstats.se/player.php?id=460
438,Kjell Pettersson,"Swedish association football player, played for AIK, Ytterhalv, active 1954-1966",Q5,https://www.aikstats.se/player.php?id=438
302,"Åke ""Carnera"" Andersson","Swedish association football player, played for AIK, Yttermittfältare, active 1939-1946",Q5,https://www.aikstats.se/player.php?id=302
426,Inge Bengtsson,"Swedish association football player, played for AIK, Vänsterytter, active 1958-1965",Q5,https://www.aikstats.se/player.php?id=426
18,"Robert ""RÅP, Robban"" Åhman Persson","Swedish association football player, played for AIK, Mittfältare, active 2003-2013",Q5,https://www.aikstats.se/player.php?id=18
204,Sanny Åslund,"Swedish association football player, played for AIK, Forward, active 1973-2004",Q5,https://www.aikstats.se/player.php?id=204
228,"Nils ""Gävle"" Nilsson","Swedish association football player, played for AIK, Vänsterhalv, active 1925-1932",Q5,https://www.aikstats.se/player.php?id=228
199,Mats Rohdin,"Swedish association football player, played for AIK, Back, active 1985-1991",Q5,https://www.aikstats.se/player.php?id=199
211,Justus Gustafsson,"Swedish association football player, played for AIK, Vänsterback, active 1917-1930",Q5,https://www.aikstats.se/player.php?id=211
362,Bertil Bäckvall,"Swedish association football player, played for AIK, Vänsterytter, active 1943-1953",Q5,https://www.aikstats.se/player.php?id=362
256,Eiwar Widlund,"Swedish association football player, played for AIK, Målvakt, active 1928-1936",Q5,https://www.aikstats.se/player.php?id=256
17,"Markus ""Mr 100%"" Jonsson","Swedish association football player, played for AIK, Högerback, active 2006-2009",Q5,https://www.aikstats.se/player.php?id=17
404,"Bruno ""Älgen"" Nyberg","Swedish association football player, played for AIK, Vänsterback, active 1953-1961",Q5,https://www.aikstats.se/player.php?id=404
853,Daniel Sundgren,"Swedish association football player, played for AIK, Mittfältare, active 2016-2019",Q5,https://www.aikstats.se/player.php?id=853
177,Börje Marcus,"Swedish association football player, played for AIK, Mittback, active 1971-1975",Q5,https://www.aikstats.se/player.php?id=177
294,Arthur Svensson,"Swedish association football player, played for AIK, Vänsterhalv, active 1937-1943",Q5,https://www.aikstats.se/player.php?id=294
368,"Ivan ""Bodde"" Bodin","Swedish association football player, played for AIK, Center, active 1948-1955",Q5,https://www.aikstats.se/player.php?id=368
60,"Benjamin ""Kibbe"" Kibebe","Swedish association football player, played for AIK, Back, active 1999-2005",Q5,https://www.aikstats.se/player.php?id=60
581,"Lars ""Larsa, Z"" Zetterlund","Swedish association football player, played for AIK, Mittfältare, active 1982-1986",Q5,https://www.aikstats.se/player.php?id=581
1216,Nicolás Stefanelli,"Swedish association football player, played for AIK, Forward, active 2017-2023",Q5,https://www.aikstats.se/player.php?id=1216
330,"Harry ""Hajjak"" Johansson","Swedish association football player, played for AIK, Vänsterhalv, active 1942-1951",Q5,https://www.aikstats.se/player.php?id=330
1184,Oscar Linnér,"Swedish association football player, played for AIK, Målvakt, active 2016-2020",Q5,https://www.aikstats.se/player.php?id=1184
178,Jörgen Bengtsson,"Swedish association football player, played for AIK, Forward, active 1960-1973",Q5,https://www.aikstats.se/player.php?id=178
191,"Vadim ""Vadde"" Jevtushenko","Swedish association football player, played for AIK, Mittfältare, active 1989-1993",Q5,https://www.aikstats.se/player.php?id=191
792,"Sotirios ""Sotte"" Papagiannopoulos","Swedish association football player, played for AIK, Back, active 1999-2011",Q5,https://www.aikstats.se/player.php?id=792
638,"Tomas ""Tobbe"" Gustafsson","Swedish association football player, played for AIK, Vänsterback, active 1997-1999",Q5,https://www.aikstats.se/player.php?id=638
28,"Andreas ""Adde"" Andersson","Swedish association football player, played for AIK, Forward, active 1999-2006",Q5,https://www.aikstats.se/player.php?id=28
1209,Enoch Kofi Adu,"Swedish association football player, played for AIK, Mittfältare, active 2017-2021",Q5,https://www.aikstats.se/player.php?id=1209
3,"Niklas ""Nirre"" Sandberg","Swedish association football player, played for AIK, Innerback, active 1996-2007",Q5,https://www.aikstats.se/player.php?id=3
