id,name,desc,type,url,wikidata
569,"Abo-Shark, Mohamed","Swedish association football player, played for BoIS, born 1994-01-29",Q5,https://boishistoria.se/visa-data/?what=spelare&id=569&link=visa-data,
549,"Adelstam, Mattias","Swedish association football player, played for BoIS, born 1982-03-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=549&link=visa-data,
347,"Afzelius, Jan","Swedish association football player, played for BoIS, born 1952-03-02",Q5,https://boishistoria.se/visa-data/?what=spelare&id=347&link=visa-data,
6,"Aganovic, Admir","Swedish association football player, played for BoIS, born 1986-08-25",Q5,https://boishistoria.se/visa-data/?what=spelare&id=6&link=visa-data,
211,"Aguiar, Fernando","Swedish association football player, played for BoIS, born 1972-03-18",Q5,https://boishistoria.se/visa-data/?what=spelare&id=211&link=visa-data,
221,"Ahl, Fredrik","Swedish association football player, played for BoIS, born 1987-06-08",Q5,https://boishistoria.se/visa-data/?what=spelare&id=221&link=visa-data,
182,"Ahmetovic, Enis","Swedish association football player, played for BoIS, born 1992-01-26",Q5,https://boishistoria.se/visa-data/?what=spelare&id=182&link=visa-data,
734,"Ahnelöv, Sten","Swedish association football player, played for BoIS, born 1926-01-18",Q5,https://boishistoria.se/visa-data/?what=spelare&id=734&link=visa-data,
3561,"Ajakpoloho, Christian","Swedish association football player, played for BoIS, born 1993-01-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3561&link=visa-data,
600,"Akpoveta, Ojevwe","Swedish association football player, played for BoIS, born 1993-07-15",Q5,https://boishistoria.se/visa-data/?what=spelare&id=600&link=visa-data,
665,"al Kurdi, Raslan","Swedish association football player, played for BoIS, born 1989-04-23",Q5,https://boishistoria.se/visa-data/?what=spelare&id=665&link=visa-data,
3754,"Al-Karkhi, Ramy","Swedish association football player, played for BoIS, born None",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3754&link=visa-data,
17,"Albrechtsson, Gunnar","Swedish association football player, played for BoIS, born 1908-07-08",Q5,https://boishistoria.se/visa-data/?what=spelare&id=17&link=visa-data,
171,"Alcalde Tieles, Donato ""Tati""","Swedish association football player, played for BoIS, born 1964-01-22",Q5,https://boishistoria.se/visa-data/?what=spelare&id=171&link=visa-data,
469,"Algerbo, Lars-Göran","Swedish association football player, played for BoIS, born 1969-12-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=469&link=visa-data,
428,"Alin, Kevin","Swedish association football player, played for BoIS, born 1996-10-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=428&link=visa-data,
452,"Alm, Lars","Swedish association football player, played for BoIS, born 1954-04-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=452&link=visa-data,
666,"Alm, Rasmus","Swedish association football player, played for BoIS, born 1995-08-17",Q5,https://boishistoria.se/visa-data/?what=spelare&id=666&link=visa-data,
716,"Alm, Simon","Swedish association football player, played for BoIS, born 1990-11-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=716&link=visa-data,
3555,"Almadjed, Sumar","Swedish association football player, played for BoIS, born 1996-03-13",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3555&link=visa-data,
441,"Almqvist, Knut","Swedish association football player, played for BoIS, born 1924-01-13",Q5,https://boishistoria.se/visa-data/?what=spelare&id=441&link=visa-data,
3482,"Almqvist, Reine","Swedish association football player, played for BoIS, born 1949-04-12",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3482&link=visa-data,
721,"Alvén, Stefan","Swedish association football player, played for BoIS, born 1968-12-12",Q5,https://boishistoria.se/visa-data/?what=spelare&id=721&link=visa-data,
429,"Amuneke, Kevin","Swedish association football player, played for BoIS, born 1986-05-10",Q5,https://boishistoria.se/visa-data/?what=spelare&id=429&link=visa-data,
433,"Amuneke, Kingsley","Swedish association football player, played for BoIS, born 1980-07-26",Q5,https://boishistoria.se/visa-data/?what=spelare&id=433&link=visa-data,
163,"Andelic, Darko","Swedish association football player, played for BoIS, born 1969-09-11",Q5,https://boishistoria.se/visa-data/?what=spelare&id=163&link=visa-data,
217,"Anderberg, Frans ""Ziska""","Swedish association football player, played for BoIS, born 1893-07-30",Q5,https://boishistoria.se/visa-data/?what=spelare&id=217&link=visa-data,
239,"Anderberg, Gunnar","Swedish association football player, played for BoIS, born 1918-03-11",Q5,https://boishistoria.se/visa-data/?what=spelare&id=239&link=visa-data,
387,"Anderberg, John","Swedish association football player, played for BoIS, born 1923-02-25",Q5,https://boishistoria.se/visa-data/?what=spelare&id=387&link=visa-data,
127,"Anderson, Charles","Swedish association football player, played for BoIS, born 1985-12-28",Q5,https://boishistoria.se/visa-data/?what=spelare&id=127&link=visa-data,
66,"Andersson, Axel","Swedish association football player, played for BoIS, born 1901-04-23",Q5,https://boishistoria.se/visa-data/?what=spelare&id=66&link=visa-data,
115,"Andersson, Börje","Swedish association football player, played for BoIS, born 1924-12-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=115&link=visa-data,
141,"Andersson, Christian","Swedish association football player, played for BoIS, born 1978-06-17",Q5,https://boishistoria.se/visa-data/?what=spelare&id=141&link=visa-data,
831,"Andersson, Emil","Swedish association football player, played for BoIS, born 1893-03-21",Q5,https://boishistoria.se/visa-data/?what=spelare&id=831&link=visa-data,
186,"Andersson, Erik ""Eslöv""","Swedish association football player, played for BoIS, born 1906-04-21",Q5,https://boishistoria.se/visa-data/?what=spelare&id=186&link=visa-data,
185,"Andersson, Erik ""Fjösarn""","Swedish association football player, played for BoIS, born 1914-03-14",Q5,https://boishistoria.se/visa-data/?what=spelare&id=185&link=visa-data,
184,"Andersson, Erik ""1997""","Swedish association football player, played for BoIS, born 1997-05-03",Q5,https://boishistoria.se/visa-data/?what=spelare&id=184&link=visa-data,
253,"Andersson, Gustaf","Swedish association football player, played for BoIS, born 1979-11-06",Q5,https://boishistoria.se/visa-data/?what=spelare&id=253&link=visa-data,
274,"Andersson, Hans ""Håsa""","Swedish association football player, played for BoIS, born 1899-07-14",Q5,https://boishistoria.se/visa-data/?what=spelare&id=274&link=visa-data,
295,"Andersson, Helge","Swedish association football player, played for BoIS, born 1895-06-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=295&link=visa-data,
314,"Andersson, Hugo ""Fyran""","Swedish association football player, played for BoIS, born 1903-11-06",Q5,https://boishistoria.se/visa-data/?what=spelare&id=314&link=visa-data,
315,"Andersson, Hugo ""1965""","Swedish association football player, played for BoIS, born 1965-11-17",Q5,https://boishistoria.se/visa-data/?what=spelare&id=315&link=visa-data,
319,"Andersson, Håkan","Swedish association football player, played for BoIS, born 1972-10-30",Q5,https://boishistoria.se/visa-data/?what=spelare&id=319&link=visa-data,
340,"Andersson, Ivar","Swedish association football player, played for BoIS, born 1908-08-21",Q5,https://boishistoria.se/visa-data/?what=spelare&id=340&link=visa-data,
