id,name,desc,type,url,wikidata
569,Mohamed Abo-Shark,"Swedish association football player, played for BoIS, active ?, born 1994-01-29",Q5,https://boishistoria.se/visa-data/?what=spelare&id=569&link=visa-data,
549,Mattias Adelstam,"Swedish association football player, played for BoIS, active ?, born 1982-03-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=549&link=visa-data,Q3375080
347,Jan Afzelius,"Swedish association football player, played for BoIS, active ?, born 1952-03-02",Q5,https://boishistoria.se/visa-data/?what=spelare&id=347&link=visa-data,
6,Admir Aganovic,"Swedish association football player, played for BoIS, active ?, born 1986-08-25",Q5,https://boishistoria.se/visa-data/?what=spelare&id=6&link=visa-data,
211,Fernando Aguiar,"Swedish association football player, played for BoIS, active ?, born 1972-03-18",Q5,https://boishistoria.se/visa-data/?what=spelare&id=211&link=visa-data,
221,Fredrik Ahl,"Swedish association football player, played for BoIS, active ?, born 1987-06-08",Q5,https://boishistoria.se/visa-data/?what=spelare&id=221&link=visa-data,
182,Enis Ahmetovic,"Swedish association football player, played for BoIS, active ?, born 1992-01-26",Q5,https://boishistoria.se/visa-data/?what=spelare&id=182&link=visa-data,Q19787867
734,Sten Ahnelöv,"Swedish association football player, played for BoIS, active ?, born 1926-01-18",Q5,https://boishistoria.se/visa-data/?what=spelare&id=734&link=visa-data,
3561,Christian Ajakpoloho,"Swedish association football player, played for BoIS, active ?, born 1993-01-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3561&link=visa-data,
600,Ojevwe Akpoveta,"Swedish association football player, played for BoIS, active ?, born 1993-07-15",Q5,https://boishistoria.se/visa-data/?what=spelare&id=600&link=visa-data,
665,Raslan al Kurdi,"Swedish association football player, played for BoIS, active ?, born 1989-04-23",Q5,https://boishistoria.se/visa-data/?what=spelare&id=665&link=visa-data,
3754,Ramy Al-Karkhi,"Swedish association football player, played for BoIS, active ?, born None",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3754&link=visa-data,
17,Gunnar Albrechtsson,"Swedish association football player, played for BoIS, active ?, born 1908-07-08",Q5,https://boishistoria.se/visa-data/?what=spelare&id=17&link=visa-data,
14,Donato Alcalde Tieles,"Swedish association football player, played for BoIS, active ?, born 1964-01-22",Q5,,
469,Lars-Göran Algerbo,"Swedish association football player, played for BoIS, active ?, born 1969-12-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=469&link=visa-data,
428,Kevin Alin,"Swedish association football player, played for BoIS, active ?, born 1996-10-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=428&link=visa-data,
