id,name,desc
225596324,Marja Aaltonen,Marja Aaltonen Född: 13 maj 1964 Fotbollsspelare Position: målvakt Nummer: 1 Moderklubb: FC Honka (Finland) 1989 1991
225596325,Alexander Abrahamsson,Nils Oscar Alexander Abrahamsson Född: 7 augusti 1999 Fotbollsspelare Position: back Nummer: 28 Moderklubb: Sunnesta IF 5 säsonger. 2015 2016 2017 2018 2019
225596326,Albion Ademi,Albion Ademi Född: 19 februari 1999 Fotbollsspelare Position: mittfältare Längd: 173 cm Nummer: 11 Moderklubb: TPS (Finland) 2021 2022 2023
225596327,Gale Agbossoumonde,Gale Agbossoumonde Född: 17 november 1991 Fotbollsspelare Position: försvarare Moderklubb: Miami F.C. (USA) 1 säsong. 14 matcher. 0 mål. 2011 8 0
225596328,Bengt Agfemalm,Bengt Frans Agfemalm Född: 24 augusti 1930 Curlingspelare Moderklubb: ? x säsonger. 19xx 19xx
225596329,Nicolaj Agger,Nicolaj Moesgaard Agger Född: 23 oktober 1988 Fotbollsspelare Position: anfallare Moderklubb: Brøndby IF (Danmark). 1 säsong. 7 matcher. 1 mål. 2011 7 1
225596330,Christer Ahlstrand,Christer Ahlstrand Född: 16 juli 1949 Ishockeyspelare Position: back Moderklubb: Tranås AIF Säsonger Matcher Mål Assist Poäng 1969/70 13 1 1 2 1970/71 1 0 0 0
225596331,Anders Ahlström,Sven Anders Ahlström Född: 1 augusti 1948 Fotbollsspelare Position: center Moderklubb: Brynäs IF 2 säsonger. 27 matcher. 10 mål. 1972 18 10 1973 9 0
225596332,Erik Ahlström,Bo Erik Ahlström Född: 27 februari 1964 Ishockeyspelare Position: forward Moderklubb: Djurgårdens IF Säsonger Matcher Mål Assist Poäng 1983/84 3 0 0 0 1984/85 14 2 4 6 1985/86 26 2 4 6
225596333,Astrit Ajdarevic,Astrit Ajdarevic Född: 17 april 1990 Fotbollsspelare Position: mittfältare Nummer: 10 Moderklubb: Falkenbergs FF 1 säsong. 26 matcher. 0 mål. 2019 26 0
225596334,Tommy Albelin,Tommy Albelin Född: 21 maj 1964 Ishockeyspelare Position: back Moderklubb: IF Brommapojkarna Säsonger Matcher Mål Assist Poäng 1982/83 19 2 5 7 1983/84 30 9 4 13 1984/85 32 8 8 16 1985/86 35 4 8 12 1986/87 33 7 5 12
225596335,Bengt Albertz,Bengt Albertz Född: Fotbollsspelare Position: Moderklubb: 3 säsonger. 1 mål. 1937/38 – 1 1938/39 – 0 1939/40 – 0
225596336,Maria Alcander,Maria Alcander Född: Fotbollsspelare Position: Nummer: 8 Moderklubb: 1988
225596337,Isak Alemayehu,Isak Alexander Alemayehu Född: 11 oktober 2006 Fotbollsspelare Position: mittfältare Längd: 177 cm Nummer: 20 Moderklubb: Djurgårdens IF 2 säsonger. 1 matcher. 0 mål. 2022 1 0 2023
225596338,Gissle Alfredsson,Gissle Alfredsson Född: 27 maj 1941 Bandyspelare 2 säsonger. 1965 1966
225596339,Björn Alkeby,Lennart Björn Alkeby Född: 17 juli 1952 Fotbollsspelare Position: målvakt. Moderklubb: Danderyds SK 13 säsonger. 243 matcher. 0 mål. 1971 16 0 1972 22 0 1973 26 0 1974 26 0 1975 25 0 1976 26 0 1977 26 0 1978 15 0 1979 16 0 1980 26 0 1981 18 0 1982 24
225596340,Malin Allberg,Malin Eva Helena Allberg Född: 1 mars 1972 Fotbollsspelare Position: mittfältare Nummer: 14 Moderklubb: Vällingby AIK 1990 1991 1992
225596341,Ruben Allinger,Karl Ruben Allinger Född: 23 december 1891 Ishockeyspelare Position: back Moderklubb: ? Säsonger Matcher Mål Assist Poäng 1921/22 – – – – 1922/23 – – – – 1923/24 – – – – 1924/25 – – – – 1925/26 – – – – 1926/27 – – – – 1927/28 – – – – 1928/29 – – – – 
