id,name,desc,type,url
Åke+Andersson_139,Åke Andersson,GAIS för Göteborgsalliansen Anfallare född 22 april 1917,Q5,https://goteborgsalliansen.se/spelare/%C3%85ke+Andersson_139
Åke+Bergling_296,Åke Bergling,Örgryte IS för Göteborgsalliansen Målvakt född 4 februari 1943,Q5,https://goteborgsalliansen.se/spelare/%C3%85ke+Bergling_296
Åke+Gustavsson_276,Åke Gustavsson,IFK Göteborg för Göteborgsalliansen Mittfältare född 10 mars 1935,Q5,https://goteborgsalliansen.se/spelare/%C3%85ke+Gustavsson_276
Åke+Hallman_162,Åke Hallman,IFK Göteborg för Göteborgsalliansen Anfallare född 12 november 1912,Q5,https://goteborgsalliansen.se/spelare/%C3%85ke+Hallman_162
Åke+Hansson_15,Åke Hansson,IFK Göteborg och GAIS för Göteborgsalliansen Mittfältare född 16 april 1903,Q5,https://goteborgsalliansen.se/spelare/%C3%85ke+Hansson_15
Åke+Kristiansson_175,Åke Kristiansson,IFK Göteborg för Göteborgsalliansen Anfallare född 18 oktober 1920,Q5,https://goteborgsalliansen.se/spelare/%C3%85ke+Kristiansson_175
Åke+Norén_240,Åke Norén,IFK Göteborg för Göteborgsalliansen Mittfältare född 26 september 1928,Q5,https://goteborgsalliansen.se/spelare/%C3%85ke+Nor%C3%A9n_240
Åke+Schön_164,Åke Schön,GAIS för Göteborgsalliansen Anfallare född 16 april 1920,Q5,https://goteborgsalliansen.se/spelare/%C3%85ke+Sch%C3%B6n_164
Åke+Tholander_138,Åke Tholander,GAIS för Göteborgsalliansen Anfallare född 21 oktober 1914,Q5,https://goteborgsalliansen.se/spelare/%C3%85ke+Tholander_138
Örjan+Persson_268,Örjan Persson,Örgryte IS för Göteborgsalliansen Anfallare född 27 augusti 1942,Q5,https://goteborgsalliansen.se/spelare/%C3%96rjan+Persson_268
+Eusébio_315,Eusébio,SL Benfica för Göteborgsalliansen Anfallare född 25 januari 1942,Q5,https://goteborgsalliansen.se/spelare/+Eus%C3%A9bio_315
Agne+Simonsson_252,Agne Simonsson,Örgryte IS för Göteborgsalliansen Anfallare född 19 oktober 1935,Q5,https://goteborgsalliansen.se/spelare/Agne+Simonsson_252
Albert+Andersson_2,Albert Andersson,Örgryte IS för Göteborgsalliansen Försvarare född 18 december 1895,Q5,https://goteborgsalliansen.se/spelare/Albert+Andersson_2
Albert+Kristiansson_48,Albert Kristiansson,Örgryte IS för Göteborgsalliansen Anfallare född 15 maj 1892,Q5,https://goteborgsalliansen.se/spelare/Albert+Kristiansson_48
Albert+Olsson_19,Albert Olsson,GAIS för Göteborgsalliansen Anfallare född 28 november 1896,Q5,https://goteborgsalliansen.se/spelare/Albert+Olsson_19
Alf+Hjelm_89,Alf Hjelm,GAIS för Göteborgsalliansen Anfallare född 28 december 1902,Q5,https://goteborgsalliansen.se/spelare/Alf+Hjelm_89
Algot+Bengtsson_70,Algot Bengtsson,IFK Göteborg för Göteborgsalliansen Mittfältare född 16 september 1900,Q5,https://goteborgsalliansen.se/spelare/Algot+Bengtsson_70
Algot+Bergström_81,Algot Bergström,IFK Göteborg för Göteborgsalliansen Anfallare född 23 december 1909,Q5,https://goteborgsalliansen.se/spelare/Algot+Bergstr%C3%B6m_81
Allan+Andersson_189,Allan Andersson,IFK Göteborg för Göteborgsalliansen Anfallare född 25 februari 1927,Q5,https://goteborgsalliansen.se/spelare/Allan+Andersson_189
Allan+Billing_69,Allan Billing,Örgryte IS för Göteborgsalliansen Mittfältare född 12 juli 1901,Q5,https://goteborgsalliansen.se/spelare/Allan+Billing_69
Allan+Mattiasson_101,Allan Mattiasson,GAIS för Göteborgsalliansen Anfallare född 8 mars 1908,Q5,https://goteborgsalliansen.se/spelare/Allan+Mattiasson_101
Allan+Svantesson_243,Allan Svantesson,IFK Göteborg för Göteborgsalliansen Anfallare född 1 juni 1928,Q5,https://goteborgsalliansen.se/spelare/Allan+Svantesson_243
Anders+Kiel_378,Anders Kiel,GAIS för Göteborgsalliansen Anfallare född 5 januari 1964,Q5,https://goteborgsalliansen.se/spelare/Anders+Kiel_378
Anders+Rydberg_75,Anders Rydberg,IFK Göteborg för Göteborgsalliansen Målvakt född 3 mars 1903,Q5,https://goteborgsalliansen.se/spelare/Anders+Rydberg_75
Anders+Svensson_281,Anders Svensson,Örgryte IS för Göteborgsalliansen Mittfältare född 27 mars 1939,Q5,https://goteborgsalliansen.se/spelare/Anders+Svensson_281
Andreas+Sjöberg_188,Andreas Sjöberg,Örgryte IS för Göteborgsalliansen Anfallare född 10 november 1923,Q5,https://goteborgsalliansen.se/spelare/Andreas+Sj%C3%B6berg_188
Arne+Knutsson_265,Arne Knutsson,IFK Göteborg för Göteborgsalliansen Anfallare född 22 november 1934,Q5,https://goteborgsalliansen.se/spelare/Arne+Knutsson_265
Arne+Lund_214,Arne Lund,GAIS för Göteborgsalliansen Mittfältare född 24 maj 1926,Q5,https://goteborgsalliansen.se/spelare/Arne+Lund_214
Arne+Lundqvist_226,Arne Lundqvist,IFK Göteborg för Göteborgsalliansen Anfallare född 10 oktober 1926,Q5,https://goteborgsalliansen.se/spelare/Arne+Lundqvist_226
Arne+Nyberg_117,Arne Nyberg,IFK Göteborg för Göteborgsalliansen Anfallare född 20 juni 1913,Q5,https://goteborgsalliansen.se/spelare/Arne+Nyberg_117
Arvid+Olsson_98,Arvid Olsson,Örgryte IS för Göteborgsalliansen Försvarare född 20 januari 1903,Q5,https://goteborgsalliansen.se/spelare/Arvid+Olsson_98
