id,name,desc,type,q
Suleiman-Abdullahi_734,Suleiman Abdullahi,"anfallare i IFK Göteborg, sista säsong 2024",Q5,Q19391100
Jan-Åberg_736,Jan Åberg,"målvakt i IFK Göteborg, sista säsong 1964",Q5,
Paulos-Abraham_985,Paulos Abraham,"mittfältare i IFK Göteborg, sista säsong 2024",Q5,Q87818743
Sargon-Abraham_881,Sargon Abraham,"anfallare i IFK Göteborg, sista säsong 2020",Q5,Q54478488
Harvid-Abrahamsson_1,Harvid Abrahamsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121075792
Henok-Abrahamsson_2,Henok Abrahamsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q686014
Sam-Adekugbe_869,Sam Adekugbe,"IFK Göteborg-spelare, sista säsong 2017",Q5,Q16146319
Mustapha-Adio+Ojora_961,Ojora Mustapha Adio,"anfallare i IFK Göteborg, sista säsong 2023",Q5,
Amin-Affane_877,Amin Affane,"mittfältare i IFK Göteborg, sista säsong 2020",Q5,Q795483
Bror-Agernäs_3,Bror Agernäs,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121143377
Thomas-Ågren_737,Thomas Ågren,"mittfältare i IFK Göteborg, sista säsong 1966",Q5,
Anders-Ahlberg_4,Anders Ahlberg,"anfallare i IFK Göteborg, sista säsong 1980",Q5,
Lars-Erik-Ahlberg_921,Lars-Erik Ahlberg,"IFK Göteborg-spelare, sista säsong 1966",Q5,Q1806144
Lars-Gunnar-Ahlberg_5,Lars-Gunnar Ahlberg,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121143379
Hosam-Aiesh_906,Hosam Aiesh,"anfallare i IFK Göteborg, sista säsong 2022",Q5,Q20652772
Mauritz-Åkervall_738,Mauritz Åkervall,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q124354542
Amir-Al-Ammari_940,Amir Al-Ammari,"mittfältare i IFK Göteborg, sista säsong 2023",Q5,Q51756997
Mohanad-Al-Jarah_977,Mohanad Al-Jarah,"IFK Göteborg-spelare, sista säsong 2024",Q5,
Leif-Albinsson_7,Leif Albinsson,"IFK Göteborg-spelare, sista säsong 1963",Q5,
Rein-Albo_8,Rein Albo,"IFK Göteborg-spelare, sista säsong 1978",Q5,
Mauricio-Albornoz_862,Mauricio Albornoz,"mittfältare i IFK Göteborg, sista säsong 2016",Q5,Q5545643
Mads-Albæk_851,Mads Albæk,"mittfältare i IFK Göteborg, sista säsong 2017",Q5,Q2053511
Villy-Aldebrink+(Andersson)_75,Villy Aldebrink,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160716
Haitam-Aleesami_847,Haitam Aleesami,"mittfältare i IFK Göteborg, sista säsong 2016",Q5,Q5639659
Daniel-Alexandersson_746,Daniel Alexandersson,"anfallare i IFK Göteborg, sista säsong 2009",Q5,Q1159898
Niclas-Alexandersson_9,Niclas Alexandersson,"mittfältare i IFK Göteborg, sista säsong 2009",Q5,Q258214
Noah-Alexandersson_901,Noah Alexandersson,"mittfältare i IFK Göteborg, sista säsong 2022",Q5,Q66845344
Ruben-Alexandersson_10,Ruben Alexandersson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q119154499
Axel-Alfredsson_11,Axel Alfredsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q722274
Gunde-Algebäck_12,Gunde Algebäck,"anfallare i IFK Göteborg, sista säsong 1972",Q5,
Saidou-Alioum_1001,Saidou Alioum,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q116995681
Joel-Allansson_747,Joel Allansson,"mittfältare i IFK Göteborg, sista säsong 2014",Q5,Q5546809
Henry-Almborg_13,Henry Almborg,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Henry-Almén_14,Henry Almén,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q15815146
Reine-Almqvist_15,Reine Almqvist,"anfallare i IFK Göteborg, sista säsong 1980",Q5,Q1114216
