id,name,desc,type,q
Suleiman-Abdullahi_734,Suleiman Abdullahi,"Suleiman Abdullahi (born 1996-12-10) attacker in IFK Göteborg, last season 2024",Q5,Q19391100
Jan-Åberg_736,Jan Åberg,"Jan Axel Åberg (born 1939-12-12) goalkeeper in IFK Göteborg, last season 1964",Q5,
Paulos-Abraham_985,Paulos Abraham,"Paulos Johannes Abraham (born 2002-07-16) midfielder in IFK Göteborg, last season 2024",Q5,Q87818743
Sargon-Abraham_881,Sargon Abraham,"Sargon Abraham (born 1991-02-07) attacker in IFK Göteborg, last season 2020",Q5,Q54478488
Harvid-Abrahamsson_1,Harvid Abrahamsson,Harvid Karl Albert Abrahamsson (born 1895-08-29) IFK Göteborg player stated in ifkdb.se,Q5,Q121075792
Henok-Abrahamsson_2,Henok Abrahamsson,Henok Andreas Abrahamsson (born 1909-10-29) IFK Göteborg player stated in ifkdb.se,Q5,Q686014
Sam-Adekugbe_869,Sam Adekugbe,"Samuel Ayomide Adekugbe (born 1995-01-16) IFK Göteborg player, last season 2017",Q5,Q16146319
Mustapha-Adio+Ojora_961,Ojora Mustapha Adio,"Mustapha Adio Ojora (born 2003-08-02) attacker in IFK Göteborg, last season 2023",Q5,
Amin-Affane_877,Amin Affane,"Amin Tareq Affane (born 1994-01-21) midfielder in IFK Göteborg, last season 2020",Q5,Q795483
Bror-Agernäs_3,Bror Agernäs,Bror Harry Agernäs (born 1927-11-25) IFK Göteborg player stated in ifkdb.se,Q5,Q121143377
Thomas-Ågren_737,Thomas Ågren,"Thomas Karl Olof Ågren (born 1948-01-18) midfielder in IFK Göteborg, last season 1966",Q5,
Anders-Ahlberg_4,Anders Ahlberg,"Anders Bengt Ahlberg (born 1953-09-23) attacker in IFK Göteborg, last season 1980",Q5,
Lars-Erik-Ahlberg_921,Lars-Erik Ahlberg,"Lars Erik Ahlberg (born 1934-06-05) IFK Göteborg player, last season 1966",Q5,Q1806144
Lars-Gunnar-Ahlberg_5,Lars-Gunnar Ahlberg,Lars Gunnar Ahlberg (born 1947-03-30) IFK Göteborg player stated in ifkdb.se,Q5,Q121143379
Hosam-Aiesh_906,Hosam Aiesh,"Hosam Aiesh (born 1995-04-14) attacker in IFK Göteborg, last season 2022",Q5,Q20652772
Mauritz-Åkervall_738,Mauritz Åkervall,Evert Mauritz Åkervall (born 1908-11-08) IFK Göteborg player stated in ifkdb.se,Q5,Q124354542
Amir-Al-Ammari_940,Amir Al-Ammari,"Amir Al-Ammari (born 1997-07-27) midfielder in IFK Göteborg, last season 2023",Q5,Q51756997
Mohanad-Al-Jarah_977,Mohanad Al-Jarah,"Mohanad Mudhafar Burhan Al-Jarah (born 1996-12-23) IFK Göteborg player, last season 2024",Q5,
Leif-Albinsson_7,Leif Albinsson,"Leif Gunnar Albinsson (born 1944-10-24) IFK Göteborg player, last season 1963",Q5,
Rein-Albo_8,Rein Albo,"Rein Albo (born 1954-02-13) IFK Göteborg player, last season 1978",Q5,
