id,name,desc
Suleiman-Abdullahi_734,ABDULLAHI Suleiman,Spelare i IFK Göteborg (ifkdb.se ID Suleiman-Abdullahi_734)
Jan-%C3%85berg_736,ÅBERG Jan,Spelare i IFK Göteborg (ifkdb.se ID Jan-%C3%85berg_736)
Paulos-Abraham_985,ABRAHAM Paulos,Spelare i IFK Göteborg (ifkdb.se ID Paulos-Abraham_985)
Sargon-Abraham_881,ABRAHAM Sargon,Spelare i IFK Göteborg (ifkdb.se ID Sargon-Abraham_881)
Harvid-Abrahamsson_1,ABRAHAMSSON Harvid,Spelare i IFK Göteborg (ifkdb.se ID Harvid-Abrahamsson_1)
Henok-Abrahamsson_2,ABRAHAMSSON Henok,Spelare i IFK Göteborg (ifkdb.se ID Henok-Abrahamsson_2)
Sam-Adekugbe_869,ADEKUGBE Sam,Spelare i IFK Göteborg (ifkdb.se ID Sam-Adekugbe_869)
Mustapha-Adio+Ojora_961,ADIO OJORA Mustapha,Spelare i IFK Göteborg (ifkdb.se ID Mustapha-Adio+Ojora_961)
Amin-Affane_877,AFFANE Amin,Spelare i IFK Göteborg (ifkdb.se ID Amin-Affane_877)
Bror-Agern%C3%A4s_3,AGERNÄS Bror,Spelare i IFK Göteborg (ifkdb.se ID Bror-Agern%C3%A4s_3)
Thomas-%C3%85gren_737,ÅGREN Thomas,Spelare i IFK Göteborg (ifkdb.se ID Thomas-%C3%85gren_737)
Anders-Ahlberg_4,AHLBERG Anders,Spelare i IFK Göteborg (ifkdb.se ID Anders-Ahlberg_4)
Lars-Erik-Ahlberg_921,AHLBERG Lars-Erik,Spelare i IFK Göteborg (ifkdb.se ID Lars-Erik-Ahlberg_921)
Lars-Gunnar-Ahlberg_5,AHLBERG Lars-Gunnar,Spelare i IFK Göteborg (ifkdb.se ID Lars-Gunnar-Ahlberg_5)
Hosam-Aiesh_906,AIESH Hosam,Spelare i IFK Göteborg (ifkdb.se ID Hosam-Aiesh_906)
Mauritz-%C3%85kervall_738,ÅKERVALL Mauritz,Spelare i IFK Göteborg (ifkdb.se ID Mauritz-%C3%85kervall_738)
Amir-Al-Ammari_940,AL-AMMARI Amir,Spelare i IFK Göteborg (ifkdb.se ID Amir-Al-Ammari_940)
Mohanad-Al-Jarah_977,AL-JARAH Mohanad,Spelare i IFK Göteborg (ifkdb.se ID Mohanad-Al-Jarah_977)
Leif-Albinsson_7,ALBINSSON Leif,Spelare i IFK Göteborg (ifkdb.se ID Leif-Albinsson_7)
Rein-Albo_8,ALBO Rein,Spelare i IFK Göteborg (ifkdb.se ID Rein-Albo_8)
Mauricio-Albornoz_862,ALBORNOZ Mauricio,Spelare i IFK Göteborg (ifkdb.se ID Mauricio-Albornoz_862)
Mads-Alb%C3%A6k_851,ALBÆK Mads,Spelare i IFK Göteborg (ifkdb.se ID Mads-Alb%C3%A6k_851)
Villy-Aldebrink+%28Andersson%29_75,ALDEBRINK Villy,Spelare i IFK Göteborg (ifkdb.se ID Villy-Aldebrink+%28Andersson%29_75)
Haitam-Aleesami_847,ALEESAMI Haitam,Spelare i IFK Göteborg (ifkdb.se ID Haitam-Aleesami_847)
Daniel-Alexandersson_746,ALEXANDERSSON Daniel,Spelare i IFK Göteborg (ifkdb.se ID Daniel-Alexandersson_746)
Niclas-Alexandersson_9,ALEXANDERSSON Niclas,Spelare i IFK Göteborg (ifkdb.se ID Niclas-Alexandersson_9)
Noah-Alexandersson_901,ALEXANDERSSON Noah,Spelare i IFK Göteborg (ifkdb.se ID Noah-Alexandersson_901)
Ruben-Alexandersson_10,ALEXANDERSSON Ruben,Spelare i IFK Göteborg (ifkdb.se ID Ruben-Alexandersson_10)
Axel-Alfredsson_11,ALFREDSSON Axel,Spelare i IFK Göteborg (ifkdb.se ID Axel-Alfredsson_11)
Gunde-Algeb%C3%A4ck_12,ALGEBÄCK Gunde,Spelare i IFK Göteborg (ifkdb.se ID Gunde-Algeb%C3%A4ck_12)
Saidou-Alioum_1001,ALIOUM Saidou,Spelare i IFK Göteborg (ifkdb.se ID Saidou-Alioum_1001)
Joel-Allansson_747,ALLANSSON Joel,Spelare i IFK Göteborg (ifkdb.se ID Joel-Allansson_747)
Henry-Almborg_13,ALMBORG Henry,Spelare i IFK Göteborg (ifkdb.se ID Henry-Almborg_13)
Henry-Alm%C3%A9n_14,ALMÉN Henry,Spelare i IFK Göteborg (ifkdb.se ID Henry-Alm%C3%A9n_14)
Reine-Almqvist_15,ALMQVIST Reine,Spelare i IFK Göteborg (ifkdb.se ID Reine-Almqvist_15)
Rolf-Almqvist_16,ALMQVIST Rolf,Spelare i IFK Göteborg (ifkdb.se ID Rolf-Almqvist_16)
Erik-Alstam_6,ALSTAM Erik,Spelare i IFK Göteborg (ifkdb.se ID Erik-Alstam_6)
John-Alvb%C3%A5ge_748,ALVBÅGE John,Spelare i IFK Göteborg (ifkdb.se ID John-Alvb%C3%A5ge_748)
Filip-Ambro%C5%BE_931,AMBROŽ Filip,Spelare i IFK Göteborg (ifkdb.se ID Filip-Ambro%C5%BE_931)
Sixten-Ammerfelt+%28Andersson%29_66,AMMERFELT Sixten,Spelare i IFK Göteborg (ifkdb.se ID Sixten-Ammerfelt+%28Andersson%29_66)
Tom-Amos_887,AMOS Tom,Spelare i IFK Göteborg (ifkdb.se ID Tom-Amos_887)
Niklas-Andersen_749,ANDERSEN Niklas,Spelare i IFK Göteborg (ifkdb.se ID Niklas-Andersen_749)
Anders-Andersson_174,ANDERSSON Anders,Spelare i IFK Göteborg (ifkdb.se ID Anders-Andersson_174)
Andreas-Andersson_20,ANDERSSON Andreas,Spelare i IFK Göteborg (ifkdb.se ID Andreas-Andersson_20)
Arne-Andersson_21,ANDERSSON Arne,Spelare i IFK Göteborg (ifkdb.se ID Arne-Andersson_21)
Arnold-Andersson_22,ANDERSSON Arnold,Spelare i IFK Göteborg (ifkdb.se ID Arnold-Andersson_22)
Arthur-Andersson_23,ANDERSSON Arthur,Spelare i IFK Göteborg (ifkdb.se ID Arthur-Andersson_23)
Bengt-Andersson_24,ANDERSSON Bengt,Spelare i IFK Göteborg (ifkdb.se ID Bengt-Andersson_24)
Bo-Andersson_25,ANDERSSON Bo,Spelare i IFK Göteborg (ifkdb.se ID Bo-Andersson_25)
Carl-Fredrik-Andersson_27,ANDERSSON Carl-Fredrik,Spelare i IFK Göteborg (ifkdb.se ID Carl-Fredrik-Andersson_27)
Clas-Andersson_41,ANDERSSON Clas,Spelare i IFK Göteborg (ifkdb.se ID Clas-Andersson_41)
David-Andersson_28,ANDERSSON David,Spelare i IFK Göteborg (ifkdb.se ID David-Andersson_28)
Dick-Andersson_29,ANDERSSON Dick,Spelare i IFK Göteborg (ifkdb.se ID Dick-Andersson_29)
Einar-Andersson_30,ANDERSSON Einar,Spelare i IFK Göteborg (ifkdb.se ID Einar-Andersson_30)
Erik-Andersson_31,ANDERSSON Erik,Spelare i IFK Göteborg (ifkdb.se ID Erik-Andersson_31)
Ernst-Andersson_32,ANDERSSON Ernst,Spelare i IFK Göteborg (ifkdb.se ID Ernst-Andersson_32)
Evald-Andersson_33,ANDERSSON Evald,Spelare i IFK Göteborg (ifkdb.se ID Evald-Andersson_33)
Fredrik-Andersson_34,ANDERSSON Fredrik,Spelare i IFK Göteborg (ifkdb.se ID Fredrik-Andersson_34)
Georg-Andersson_35,ANDERSSON Georg,Spelare i IFK Göteborg (ifkdb.se ID Georg-Andersson_35)
G%C3%B6sta-Andersson_39,ANDERSSON Gösta,Spelare i IFK Göteborg (ifkdb.se ID G%C3%B6sta-Andersson_39)
