item,QID,label,ifkdb,svwiki,ifkdb_wikipedia,ifk_title,wd_title,status,match
http://www.wikidata.org/entity/Q178282,Q178282,Thorsten Svensson,https://ifkdb.se/spelare/Torsten-Svensson_674,https://sv.wikipedia.org/wiki/Thorsten_Svensson,https://sv.wikipedia.org/wiki/Thorsten_Svensson,Thorsten Svensson,Thorsten Svensson,match,True
http://www.wikidata.org/entity/Q258214,Q258214,Niclas Alexandersson,https://ifkdb.se/spelare/Niclas-Alexandersson_9,https://sv.wikipedia.org/wiki/Niclas_Alexandersson,https://sv.wikipedia.org/wiki/Niclas_Alexandersson,Niclas Alexandersson,Niclas Alexandersson,match,True
http://www.wikidata.org/entity/Q313036,Q313036,Tobias Hysén,https://ifkdb.se/spelare/Tobias-Hysén_787,https://sv.wikipedia.org/wiki/Tobias_Hys%C3%A9n,https://sv.wikipedia.org/wiki/Tobias_Hys%C3%A9n,Tobias Hysén,Tobias Hysén,match,True
http://www.wikidata.org/entity/Q82902,Q82902,Erkan Saglik,https://ifkdb.se/spelare/Erkan-Saglik_818,https://sv.wikipedia.org/wiki/Erkan_Saglik,https://sv.wikipedia.org/wiki/Erkan_Saglik,Erkan Saglik,Erkan Saglik,match,True
http://www.wikidata.org/entity/Q128845,Q128845,Lee Baxter,https://ifkdb.se/spelare/Lee-Baxter_756,https://sv.wikipedia.org/wiki/Lee_Baxter,https://sv.wikipedia.org/wiki/Lee_Baxter,Lee Baxter,Lee Baxter,match,True
http://www.wikidata.org/entity/Q197503,Q197503,Andreas Drugge,https://ifkdb.se/spelare/Andreas-Drugge_771,https://sv.wikipedia.org/wiki/Andreas_Drugge,https://sv.wikipedia.org/wiki/Andreas_Drugge,Andreas Drugge,Andreas Drugge,match,True
http://www.wikidata.org/entity/Q314511,Q314511,Gunnar Gren,https://ifkdb.se/spelare/Gunnar-Gren_233,https://sv.wikipedia.org/wiki/Gunnar_Gren,https://sv.wikipedia.org/wiki/Gunnar_Gren,Gunnar Gren,Gunnar Gren,match,True
http://www.wikidata.org/entity/Q314756,Q314756,Teddy Lučić,https://ifkdb.se/spelare/Teddy-Lucic_465,https://sv.wikipedia.org/wiki/Teddy_Lu%C4%8Di%C4%87,https://sv.wikipedia.org/wiki/Teddy_Lu%C4%8Di%C4%87,Teddy Lučić,Teddy Lučić,match,True
http://www.wikidata.org/entity/Q118437,Q118437,Stefan Lindqvist,https://ifkdb.se/spelare/Stefan-Lindqvist_457,https://sv.wikipedia.org/wiki/Stefan_Lindqvist,https://en.wikipedia.org/wiki/Stefan_Lindqvist,Stefan Lindqvist,Stefan Lindqvist,match,True
http://www.wikidata.org/entity/Q128859,Q128859,Tobias Sana,https://ifkdb.se/spelare/Tobias-Sana_820,https://sv.wikipedia.org/wiki/Tobias_Sana,https://sv.wikipedia.org/wiki/Tobias_Sana,Tobias Sana,Tobias Sana,match,True
http://www.wikidata.org/entity/Q128936,Q128936,Kolbeinn Sigþórsson,https://ifkdb.se/spelare/Kolbeinn-Sigthórsson_927,https://sv.wikipedia.org/wiki/Kolbeinn_Sig%C3%BE%C3%B3rsson,https://sv.wikipedia.org/wiki/Kolbeinn_Sig%C3%BE%C3%B3rsson,Kolbeinn Sigþórsson,Kolbeinn Sigþórsson,match,True
http://www.wikidata.org/entity/Q313710,Q313710,Thomas Ravelli,https://ifkdb.se/spelare/Thomas-Ravelli_600,https://sv.wikipedia.org/wiki/Thomas_Ravelli,https://sv.wikipedia.org/wiki/Thomas_Ravelli,Thomas Ravelli,Thomas Ravelli,match,True
http://www.wikidata.org/entity/Q342387,Q342387,Jesper Blomqvist,https://ifkdb.se/spelare/Jesper-Blomqvist_122,https://sv.wikipedia.org/wiki/Jesper_Blomqvist,https://sv.wikipedia.org/wiki/Jesper_Blomqvist,Jesper Blomqvist,Jesper Blomqvist,match,True
http://www.wikidata.org/entity/Q571153,Q571153,Dan Corneliusson,https://ifkdb.se/spelare/Dan-Corneliusson_159,https://sv.wikipedia.org/wiki/Dan_Corneliusson,https://sv.wikipedia.org/wiki/Dan_Corneliusson,Dan Corneliusson,Dan Corneliusson,match,True
http://www.wikidata.org/entity/Q631232,Q631232,Conny Karlsson,https://ifkdb.se/spelare/Conny-Karlsson_374,https://sv.wikipedia.org/wiki/Conny_Karlsson,https://sv.wikipedia.org/wiki/Conny_Karlsson,Conny Karlsson,Conny Karlsson,match,True
http://www.wikidata.org/entity/Q704840,Q704840,Roland Nilsson,https://ifkdb.se/spelare/Roland-Nilsson_523,https://sv.wikipedia.org/wiki/Roland_Nilsson_(fotbollsspelare),https://sv.wikipedia.org/wiki/Roland_Nilsson_(fotbollsspelare),Roland Nilsson (fotbollsspelare),Roland Nilsson (fotbollsspelare),match,True
http://www.wikidata.org/entity/Q174881,Q174881,Eldin Karišik,https://ifkdb.se/spelare/Eldin-Karišik_797,https://sv.wikipedia.org/wiki/Eldin_Kari%C5%A1ik,https://sv.wikipedia.org/wiki/Eldin_Karisik,Eldin Karisik,Eldin Karišik,match,False
http://www.wikidata.org/entity/Q197772,Q197772,Putte Kock,https://ifkdb.se/spelare/Rudolf-Kock_395,https://sv.wikipedia.org/wiki/Putte_Kock,https://sv.wikipedia.org/wiki/Putte_Kock,Putte Kock,Putte Kock,match,True
http://www.wikidata.org/entity/Q201825,Q201825,Marek Hamšík,https://ifkdb.se/spelare/Marek-Hamšík_934,https://sv.wikipedia.org/wiki/Marek_Ham%C5%A1%C3%ADk,https://sv.wikipedia.org/wiki/Marek_Ham%C5%A1%C3%ADk,Marek Hamšík,Marek Hamšík,match,True
http://www.wikidata.org/entity/Q361403,Q361403,Mikael Antonsson,https://ifkdb.se/spelare/Mikael-Antonsson_79,https://sv.wikipedia.org/wiki/Mikael_Antonsson,https://sv.wikipedia.org/wiki/Mikael_Antonsson,Mikael Antonsson,Mikael Antonsson,match,True
http://www.wikidata.org/entity/Q367816,Q367816,Ove Kindvall,https://ifkdb.se/spelare/Ove-Kindvall_390,https://sv.wikipedia.org/wiki/Ove_Kindvall,https://sv.wikipedia.org/wiki/Ove_Kindvall,Ove Kindvall,Ove Kindvall,match,True
http://www.wikidata.org/entity/Q478588,Q478588,Andreas Ravelli,https://ifkdb.se/spelare/Andreas-Ravelli_601,https://sv.wikipedia.org/wiki/Andreas_Ravelli,https://sv.wikipedia.org/wiki/Andreas_Ravelli,Andreas Ravelli,Andreas Ravelli,match,True
http://www.wikidata.org/entity/Q491262,Q491262,Anders Rydberg,https://ifkdb.se/spelare/Anders-Rydberg_615,https://sv.wikipedia.org/wiki/Anders_Rydberg,https://sv.wikipedia.org/wiki/Anders_Rydberg,Anders Rydberg,Anders Rydberg,match,True
http://www.wikidata.org/entity/Q152804,Q152804,Mattias Johansson,https://ifkdb.se/spelare/Mattias-Johansson_987,https://sv.wikipedia.org/wiki/Mattias_Johansson_(fotbollsspelare_f%C3%B6dd_1992),https://sv.wikipedia.org/wiki/Mattias_Johansson_(fotbollsspelare_f%C3%B6dd_1992),Mattias Johansson (fotbollsspelare född 1992),Mattias Johansson (fotbollsspelare född 1992),match,True
