id,name,desc
marja-aaltonen,Marja Aaltonen,Marja Aaltonen Född: 13 maj 1964 Fotbollsspelare Position: målvakt Nummer: 1 Moderklubb: FC Honka (Finland) 1989 1991
alexander-abrahamsson,Alexander Abrahamsson,Nils Oscar Alexander Abrahamsson Född: 7 augusti 1999 Fotbollsspelare Position: back Nummer: 28 Moderklubb: Sunnesta IF 5 säsonger. 2015 2016 2017 201
albion-ademi,Albion Ademi,Albion Ademi Född: 19 februari 1999 Fotbollsspelare Position: mittfältare Längd: 173 cm Nummer: 11 Moderklubb: TPS (Finland) 2021 2022 2023
gale-agbossoumonde,Gale Agbossoumonde,Gale Agbossoumonde Född: 17 november 1991 Fotbollsspelare Position: försvarare Moderklubb: Miami F.C. (USA) 1 säsong. 14 matcher. 0 mål. 2011 8 0
bengt-agfemalm,Bengt Agfemalm,Bengt Frans Agfemalm Född: 24 augusti 1930 Curlingspelare Moderklubb: ? x säsonger. 19xx 19xx
nicolaj-agger,Nicolaj Agger,Nicolaj Moesgaard Agger Född: 23 oktober 1988 Fotbollsspelare Position: anfallare Moderklubb: Brøndby IF (Danmark). 1 säsong. 7 matcher. 1 mål. 2011 7
christer-ahlstrand,Christer Ahlstrand,Christer Ahlstrand Född: 16 juli 1949 Ishockeyspelare Position: back Moderklubb: Tranås AIF Säsonger Matcher Mål Assist Poäng 1969/70 13 1 1 2 1970/71
anders-ahlstrom,Anders Ahlström,Sven Anders Ahlström Född: 1 augusti 1948 Fotbollsspelare Position: center Moderklubb: Brynäs IF 2 säsonger. 27 matcher. 10 mål. 1972 18 10 1973 9 0
erik-ahlstrom,Erik Ahlström,Bo Erik Ahlström Född: 27 februari 1964 Ishockeyspelare Position: forward Moderklubb: Djurgårdens IF Säsonger Matcher Mål Assist Poäng 1983/84 3 0 0 0
astrit-ajdarevic,Astrit Ajdarevic,Astrit Ajdarevic Född: 17 april 1990 Fotbollsspelare Position: mittfältare Nummer: 10 Moderklubb: Falkenbergs FF 1 säsong. 26 matcher. 0 mål. 2019 26 
tommy-albelin,Tommy Albelin,Tommy Albelin Född: 21 maj 1964 Ishockeyspelare Position: back Moderklubb: IF Brommapojkarna Säsonger Matcher Mål Assist Poäng 1982/83 19 2 5 7 1983/8
bengt-albertz,Bengt Albertz,Bengt Albertz Född: Fotbollsspelare Position: Moderklubb: 3 säsonger. 1 mål. 1937/38 – 1 1938/39 – 0 1939/40 – 0
maria-alcander,Maria Alcander,Maria Alcander Född: Fotbollsspelare Position: Nummer: 8 Moderklubb: 1988
isak-alemayehu,Isak Alemayehu,Isak Alexander Alemayehu Född: 11 oktober 2006 Fotbollsspelare Position: mittfältare Längd: 177 cm Nummer: 20 Moderklubb: Djurgårdens IF 2 säsonger. 1
gissle-alfredsson,Gissle Alfredsson,Gissle Alfredsson Född: 27 maj 1941 Bandyspelare 2 säsonger. 1965 1966
bjorn-alkeby,Björn Alkeby,Lennart Björn Alkeby Född: 17 juli 1952 Fotbollsspelare Position: målvakt. Moderklubb: Danderyds SK 13 säsonger. 243 matcher. 0 mål. 1971 16 0 1972 22
malin-allberg,Malin Allberg,Malin Eva Helena Allberg Född: 1 mars 1972 Fotbollsspelare Position: mittfältare Nummer: 14 Moderklubb: Vällingby AIK 1990 1991 1992
ruben-allinger,Ruben Allinger,Karl Ruben Allinger Född: 23 december 1891 Ishockeyspelare Position: back Moderklubb: ? Säsonger Matcher Mål Assist Poäng 1921/22 – – – – 1922/23 – – 
johan-alm,Johan Alm,Johan Krister Alm Född: 28 januari 1992 Ishockeyspelare Position: back Längd: 190 cm Nummer: 7 Skjuter: vänster Moderklubb: Skellefteå AIK Säsonger Ma
anders-almgren,Anders Almgren,Jan Anders Fredrik Almgren Född: 27 december 1968 Fotbollsspelare Position: målvakt Moderklubb: Djurö-Vindö IF 5 säsonger. 70 matcher. 0 mål. 1988 4 0
joakim-alriksson,Joakim Alriksson,Axel Joakim Alriksson Född: 18 augusti 1992 Fotbollsspelare Position: mittfältare Moderklubb: Heby AIF 2 säsonger. 5 matcher. 0 mål. 2010 1 0 2011 4 0
stefan-alven,Stefan Alvén,Björn Stefan Alvén Född: 12 december 1968 Fotbollsspelare Position: försvarare. Moderklubb: Asmundstorp IF 5 säsonger. 122 matcher. 2 mål. 1995 24 0 1
daniel-amartey,Daniel Amartey,Daniel Amartey Född: 21 december 1994 Fotbollsspelare Position: mittfältare/försvarare Moderklubb: Inter Allies (Ghana) 2 säsonger. 34 matcher. 0 mål.
patrick-amoah,Patrick Amoah,Patrick James Amoah Född: 18 augusti 1986 Fotbollsspelare Position: anfallare Moderklubb: Djurgårdens IF 3 säsonger. 40 matcher. 4 mål 2004 10 2 2005 
bo-braastrup-andersen,Bo Braastrup Andersen,Bo Braastrup Andersen Född: 26 mars 1976 Fotbollsspelare Position: målvakt Moderklubb: Lyngby FC 1 säsong. 11 matcher. 0 mål. 1999 11 0
arne-andersen,Arne Andersén,Arne Ingvar Andersén Född: 4 maj 1956 Ishockeyspelare Position: back Moderklubb: Kiruna AIF Säsonger Matcher Mål Assist Poäng 1977/78 16 2 2 4 1978/79
anders-andersson-bernmar,Anders Andersson (Bernmar),Anders Andersson (f.d. Bernmar) Född: 30 september 1917 Fotbollsspelare Position: försvarare Moderklubb: Helsingborgs IF 4 säsonger. 2 mål. 1939/40 – 
bernt-hugo-andersson,Bernt Hugo Andersson,Bernt Hugo Erland Andersson Född: 5 september 1933 Fotbollsspelare Position: ytter Moderklubb: Sundbybergs IK 9 säsonger. 89 matcher. 19 mål. 1952/53 
bertil-andersson,Bertil Andersson,Ragnar Vilhelm Bertil Andersson Född: 7 mars 1905 Fotbollsspelare Position: försvarare Moderklubb: Djurgårdens IF 6 säsonger. 59 matcher. 4 mål. 1927/
bertil-jeppe-andersson,Bertil Andersson,Nils Bertil Andersson (senare Aldrin) Född: 4 september 1905 Fotbollsspelare Position: Moderklubb: 1 säsong. 7 matcher. 8 mål. 1927/28 7 8
bo-superbosse-andersson,Bo Andersson,Bo Magnus Andersson Född: 26 augusti 1968 Fotbollsspelare Position: anfallare Moderklubb: Vasalunds IF 4 säsonger. 87 matcher. 41 mål. 1994 25 11 1995
bror-andersson,Bror Andersson,Bror Oskar Andersson Född: 11 februari 1925 Ishockeyspelare Position: back Moderklubb: Tranebergs IF Säsonger Matcher Mål Assist Poäng 1948/49 4 0 0 0
borje-andersson,Börje Andersson,Stig Börje Andersson Född: 30 mars 1946 Ishockeyspelare Position: forward Moderklubb: Djurgårdens IF Säsonger Matcher Mål Assist Poäng 1965/66 10 3 3 
carl-potis-andersson,Carl Andersson,Carl Mauritz Andersson Född: 22 september 1900 Fotbollsspelare Position: försvarare Moderklubb: Tranebergs IF 1 säsong. 18 matcher. 0 mål. 1927/28 18 
christer-andersson,Christer Andersson,Christer Andersson Född: 1940 Fotbollsspelare Position: anfallare Moderklubb: Djurgårdens IF 1 säsong. 3 matcher. 3 mål. 1961 3 3
elias-andersson,Elias Andersson,Nils Erik Elias Andersson Född: 31 januari 1996 Fotbollsspelare Position: mittfältare Längd: 178 cm Nummer: 8 Moderklubb: Hässleholms IF 2021 2022 202
gustaf-andersson,Gustaf Andersson,Gustaf Adolf Andersson Född: 2 januari 1868 Medlem: 15 Grundare av Djurgårdens IF
hans-andersson,Hans Andersson,Hans Gunnar Andersson Född: 7 februari 1945 Fotbollsspelare Position: ytter Moderklubb: 1 säsong. 4 matcher. 0 mål. 1965 4 0
harry-andersson,Harry Andersson,Harry Arvid Verner Andersson Född: 20 mars 1912 Fotbollsspelare Position: försvarare Moderklubb: Sandvikens IF 5 säsonger. 28 matcher. 3 mål. 1932/33 
ivar-packarn-andersson,Ivar Andersson,Karl Ivar Andersson Född: 10 januari 1903 Fotbollsspelare Position: Moderklubb: 1 säsong. 17 matcher. 0 mål. 1927/28 17 0
jan-andersson,"Jan (fotboll) Andersson, Jan (ishockey) Andersson, Johan Andersson",Jan Edgar Andersson Född: 7 maj 1965 Fotbollsspelare Position: försvarare Moderklubb: IFK Västerås 3 säsonger. 38 matcher. 4 mål. 1990 12 0 1991 15 3 
johan-andersson-2,Johan Andersson,Carl Johan Josef Andersson Född: 15 juni 1995 Fotbollsspelare Position: försvarare Nummer: 2 Moderklubb: Vaksala SK 2 säsonger. 2 matcher. 0 mål. 2018
john-andersson,John Andersson,"John Harry Alexander Andersson Född: 2 mars 1909 Boxare Europamästare 1933 SM-guld 1929, 1931"
karl-erik-cacka-andersson,Karl-Erik Andersson,"Karl-Erik Andersson Född: 16 januari 1927 SM-guld: 1954/55 (fotboll), 1950, 1954, 1955 (ishockey) Fotbollsspelare Position: försvarare Moderklubb: Dju"
karl-olof-andersson,Karl-Olof Andersson,Karl-Olof Andersson Född: 12 juni 1942 Fotbollsspelare Position: anfallare Moderklubb: IK Tord 1 säsong. 4 matcher. 0 1965 4 0
lars-andersson,"Lars (fotboll) Andersson, Lars (ishockey) Andersson, Lisa Andersson",Karl Lars Andersson (senare Widerström) Född: 30 januari 1927 Fotbollsspelare Position: högerinner Moderklubb: Gais 1 säsong. 2 matcher. 0 mål. 1950/5
martin-andersson,Martin Andersson,Erik Martin Andersson Född: 9 maj 1982 Fotbollsspelare Position: mittback/mittfältare Moderklubb: Enköpings SK 2 säsonger. 16 matcher. 0 mål. 2008 13 
n-andersson,N. Andersson,N. Andersson Född: Fotbollsspelare Position: Moderklubb: 1 säsong. 0 mål. 1939/40 – 0
