id,name,desc
marja-aaltonen,Marja Aaltonen,"football målvakt (born 1964), Djurgårdens IF player 1989–1991"
alexander-abrahamsson,Alexander Abrahamsson,"football back (born 1999), Djurgårdens IF player 2018–2019"
albion-ademi,Albion Ademi,"football mittfältare (born 1999), Djurgårdens IF player 2022–2023"
gale-agbossoumonde,Gale Agbossoumonde,"football försvarare (born 1991), Djurgårdens IF player 1991–2011"
bengt-agfemalm,Bengt Agfemalm,football player (born 1930)
nicolaj-agger,Nicolaj Agger,"football anfallare (born 1988), Djurgårdens IF player 1988–2011"
christer-ahlstrand,Christer Ahlstrand,"football back (born 1949), Djurgårdens IF player 1969–1970"
anders-ahlstrom,Anders Ahlström,"football center (born 1948), Djurgårdens IF player 1972–1973"
erik-ahlstrom,Erik Ahlström,"football forward (born 1964), Djurgårdens IF player 1984–1985"
astrit-ajdarevic,Astrit Ajdarevic,"football mittfältare (born 1990), Djurgårdens IF player 1990–2019"
tommy-albelin,Tommy Albelin,"football back (born 1964), Djurgårdens IF player 1985–1986"
bengt-albertz,Bengt Albertz,"football Moderklubb: (born ), Djurgårdens IF player 1938–1939"
maria-alcander,Maria Alcander,football Nummer: 8 (born )
isak-alemayehu,Isak Alemayehu,"football mittfältare (born 2006), Djurgårdens IF player 2022–2023"
gissle-alfredsson,Gissle Alfredsson,"football player (born 1941), Djurgårdens IF player 1965–1966"
bjorn-alkeby,Björn Alkeby,"football målvakt. (born 1952), Djurgårdens IF player 1982–1993"
malin-allberg,Malin Allberg,"football mittfältare (born 1972), Djurgårdens IF player 1991–1992"
ruben-allinger,Ruben Allinger,"football back (born 1891), Djurgårdens IF player 1929–1930"
johan-alm,Johan Alm,"football back (born 1992), Djurgårdens IF player 1992–2022"
anders-almgren,Anders Almgren,"football målvakt (born 1968), Djurgårdens IF player 1991–1992"
joakim-alriksson,Joakim Alriksson,"football mittfältare (born 1992), Djurgårdens IF player 2010–2011"
stefan-alven,Stefan Alvén,"football försvarare. (born 1968), Djurgårdens IF player 1998–1999"
daniel-amartey,Daniel Amartey,"football mittfältare/försvarare (born 1994), Djurgårdens IF player 2013–2014"
patrick-amoah,Patrick Amoah,"football anfallare (born 1986), Djurgårdens IF player 2006–2007"
bo-braastrup-andersen,Bo Braastrup Andersen,"football målvakt (born 1976), Djurgårdens IF player 1976–1999"
arne-andersen,Arne Andersén,"football back (born 1956), Djurgårdens IF player 1977–1978"
anders-andersson-bernmar,Anders Andersson (Bernmar),"football försvarare (born 1917), Djurgårdens IF player 1941–1942"
bernt-hugo-andersson,Bernt Hugo Andersson,"football ytter (born 1933), Djurgårdens IF player 1964–1965"
bertil-andersson,Bertil Andersson,"football försvarare (born 1905), Djurgårdens IF player 1935–1936"
bertil-jeppe-andersson,Bertil Andersson,"football Moderklubb: (born 1905), Djurgårdens IF player 1905–1927"
bo-superbosse-andersson,Bo Andersson,"football anfallare (born 1968), Djurgårdens IF player 1996–1997"
bror-andersson,Bror Andersson,"football back (born 1925), Djurgårdens IF player 1925–1948"
borje-andersson,Börje Andersson,"football forward (born 1946), Djurgårdens IF player 1946–1965"
carl-potis-andersson,Carl Andersson,"football försvarare (born 1900), Djurgårdens IF player 1900–1927"
christer-andersson,Christer Andersson,"football anfallare (born ), Djurgårdens IF player 1940–1961"
elias-andersson,Elias Andersson,"football mittfältare (born 1996), Djurgårdens IF player 2022–2023"
gustaf-andersson,Gustaf Andersson,football player (born 1868)
hans-andersson,Hans Andersson,"football ytter (born 1945), Djurgårdens IF player 1945–1965"
harry-andersson,Harry Andersson,"football försvarare (born 1912), Djurgårdens IF player 1940–1941"
ivar-packarn-andersson,Ivar Andersson,"football Moderklubb: (born 1903), Djurgårdens IF player 1903–1927"
jan-andersson,"Jan (fotboll) Andersson, Jan (ishockey) Andersson, Johan Andersson","football försvarare (born 1965), Djurgårdens IF player 1991–1992"
johan-andersson-2,Johan Andersson,"football försvarare (born 1995), Djurgårdens IF player 2018–2019"
john-andersson,John Andersson,"football player (born 1909), Djurgårdens IF player 1929–1931"
karl-erik-cacka-andersson,Karl-Erik Andersson,"football försvarare (born 1927), Djurgårdens IF player 1952–1953"
karl-olof-andersson,Karl-Olof Andersson,"football anfallare (born 1942), Djurgårdens IF player 1942–1965"
lars-andersson,"Lars (fotboll) Andersson, Lars (ishockey) Andersson, Lisa Andersson","football högerinner (born 1927), Djurgårdens IF player 1927–1950"
martin-andersson,Martin Andersson,"football mittback/mittfältare (born 1982), Djurgårdens IF player 2008–2009"
n-andersson,N. Andersson,football Moderklubb: (born )
nils-andersson,"Nils (fotboll, bandy) Andersson, Nils (ishockey) Andersson, Ola Andersson","football försvarare (born 1941), Djurgårdens IF player 1962–1963"
per-ake-andersson,Per-Åke Andersson,"football player (born 1939), Djurgårdens IF player 1965–1966"
rickard-parris-andersson,Richard Andersson,"football målvakt (born 1897), Djurgårdens IF player 1927–1928"
roland-andersson,Roland Andersson,"football högerback (born 1950), Djurgårdens IF player 1975–1976"
rose-marie-andersson,Rose-Marie Andersson,"football back, mittfältare (born 1973), Djurgårdens IF player 1992–1996"
rune-andersson,Rune Andersson,football Moderklubb: (born )
sebastian-andersson,Sebastian Andersson,"football anfallare (born 1991), Djurgårdens IF player 2014–2015"
sven-andersson,Sven Andersson,"football back (born 1932), Djurgårdens IF player 1953–1954"
sune-andersson,Sune Andersson,"football Moderklubb: (born 1898), Djurgårdens IF player 1927–1928"
tommy-andersson,Tommy Andersson,"football försvarare. (born 1952), Djurgårdens IF player 1952–1972"
tore-andersson,Tore Andersson,"football back (born 1929), Djurgårdens IF player 1929–1949"
ake-andersson,Åke Andersson,"football Moderklubb: (born 1906), Djurgårdens IF player 1927–1928"
folke-andersson-arsjo,Folke Andersson-Arsjö,"football forward (born 1903), Djurgårdens IF player 1930–1931"
knut-andersson-karsbrink,Knut Andersson-Karsbrink,"football forward (born 1902), Djurgårdens IF player 1902–1929"
christer-andersson-mossberg-2,Christer Andersson-Mossberg,"football player (born 1939), Djurgårdens IF player 1965–1966"
ivar-andre,Ivar André,"football player (born 1905), Djurgårdens IF player 1905–1927"
anders-andren,Anders Andrén,"football forward (born 1945), Djurgårdens IF player 1969–1970"
rune-andren,Rune Andrén,"football forward (born 1950), Djurgårdens IF player 1969–1970"
vytautas-andriuskevicius,Vytautas Andriuskevicius,"football försvarare (born 1990), Djurgårdens IF player 2013–2014"
niklas-anger,Niklas Anger,"football forward (born 1977), Djurgårdens IF player 1969–1970"
goran-aral,Göran Aral,"football försvarare (born 1953), Djurgårdens IF player 1953–1975"
kari-arnason,Kari Arnason,"football mittfältare (born 1982), Djurgårdens IF player 2005–2006"
johan-arneng,Johan Arneng,"football mittfältare (born 1979), Djurgårdens IF player 2006–2007"
lars-laban-arnesson,Lars Arnesson,"football back (born 1936), Djurgårdens IF player 1964–1965"
linus-arnesson,Linus Arnesson,"football back (born 1994), Djurgårdens IF player 2021–2022"
jan-aronsson,Jan Aronsson,"football högerytter (born 1931), Djurgårdens IF player 1931–1959"
mats-aronsson,Mats Aronsson,"football anfallare (born ), Djurgårdens IF player 1981–1982"
