id,name,desc
143,henok abrahamsson,"football player, Gårda BK player"
166,olle Åhlund,"football player, Degerfors IF player"
152,mauritz Åkervall,"football player, Gårda BK player"
336,conny aldorsson,"football player, GAIS player"
317,stefan allbäck,"football player, Örgryte IS player"
308,gösta almbjerg,"football player, GAIS player"
228,knut almqvist,"football player, GAIS player"
311,reine almqvist,"football player, IFK Göteborg player"
185,rolf almqvist,"football player, GAIS player"
344,roger altemark,"football player, Örgryte IS player"
328,peder amberntsson,"football player, Örgryte IS player"
139,Åke andersson,"football player, GAIS player"
2,albert andersson,"football player, Örgryte IS player"
189,allan andersson,"football player, IFK Göteborg player"
134,bertil andersson i,"football player, Örgryte IS player"
216,bertil andersson ii,"football player, GAIS player"
278,dick andersson,"football player, IFK Göteborg player"
58,erik andersson,"football player, IFK Göteborg player"
77,ernst andersson,"football player, IFK Göteborg player"
52,gillis andersson,"football player, IFK Göteborg player"
74,gösta andersson,"football player, IFK Göteborg player"
218,gunnar andersson,"football player, Olympique de Marseille player"
125,gustaf andersson,"football player, GAIS player"
148,harry andersson,"football player, IS Halmia player"
128,henry andersson i,"football player, GAIS player"
135,henry andersson ii,"football player, GAIS player"
170,henry andersson iii,"football player, IFK Göteborg player"
54,karl andersson,"football player, IFK Göteborg player"
86,knut andersson,"football player, Örgryte IS player"
255,lars andersson,"football player, IFK Göteborg player"
230,leif andersson,"football player, GAIS player"
352,michael andersson,"football player, IFK Göteborg player"
39,nils andersson,"football player, Örgryte IS player"
110,otto andersson,"football player, Örgryte IS player"
59,stellan andersson,"football player, IFK Göteborg player"
191,stig andersson i,"football player, GAIS player"
271,stig andersson ii,"football player, Örgryte IS player"
17,verner andersson,"football player, IFK Göteborg player"
17,verner andersson,"football player, Gårda BK player"
106,nils andreasson,"football player, GAIS player"
120,erik angren,"football player, GAIS player"
99,josef appelgren,"football player, Örgryte IS player"
219,sven appelgren,"football player, IFK Göteborg player"
292,kurt axelsson,"football player, GAIS player"
295,kent bäck,"football player, Örgryte IS player"
205,leif beckman,"football player, Örgryte IS player"
70,algot bengtsson,"football player, IFK Göteborg player"
141,gunnar bengtsson,"football player, Örgryte IS player"
147,holger bengtsson,"football player, Gårda BK player"
147,holger bengtsson,"football player, IFK Göteborg player"
16,olle bengtsson,"football player, GAIS player"
112,fritz berg,"football player, IFK Göteborg player"
204,yngve bergfelt,"football player, Örgryte IS player"
127,gunnar berghult,"football player, Örgryte IS player"
296,Åke bergling,"football player, Örgryte IS player"
198,roland berglöv,"football player, Örgryte IS player"
