player_id,name,club,years,matches,goals,url
143,henok abrahamsson,Gårda BK,"1938,1939",3,0,https://goteborgsalliansen.se/spelare/Henok-Abrahamsson_143
166,olle Åhlund,Degerfors IF,1942,1,0,https://goteborgsalliansen.se/spelare/Olle-%C3%85hlund_166
152,mauritz Åkervall,Gårda BK,1939,1,0,https://goteborgsalliansen.se/spelare/Mauritz-%C3%85kervall_152
336,conny aldorsson,GAIS,1974,1,0,https://goteborgsalliansen.se/spelare/Conny-Aldorsson_336
317,stefan allbäck,Örgryte IS,"1971,1975",2,0,https://goteborgsalliansen.se/spelare/Stefan-Allb%C3%A4ck_317
308,gösta almbjerg,GAIS,1969,1,0,https://goteborgsalliansen.se/spelare/G%C3%B6sta-Almbjerg_308
228,knut almqvist,GAIS,"1950,1953",2,1,https://goteborgsalliansen.se/spelare/Knut-Almqvist_228
311,reine almqvist,IFK Göteborg,"1969,1972",2,0,https://goteborgsalliansen.se/spelare/Reine-Almqvist_311
185,rolf almqvist,GAIS,1946,1,0,https://goteborgsalliansen.se/spelare/Rolf-Almqvist_185
344,roger altemark,Örgryte IS,1979,1,0,https://goteborgsalliansen.se/spelare/Roger-Altemark_344
328,peder amberntsson,Örgryte IS,"1972,1974",2,0,https://goteborgsalliansen.se/spelare/Peder-Amberntsson_328
139,Åke andersson,GAIS,"1937,1938,1939",3,1,https://goteborgsalliansen.se/spelare/%C3%85ke-Andersson_139
2,albert andersson,Örgryte IS,"1920,1921,1922,1923,1924",16,0,https://goteborgsalliansen.se/spelare/Albert-Andersson_2
189,allan andersson,IFK Göteborg,1947,1,0,https://goteborgsalliansen.se/spelare/Allan-Andersson_189
134,bertil andersson i,Örgryte IS,"1936,1940",3,0,https://goteborgsalliansen.se/spelare/Bertil-Andersson+I_134
216,bertil andersson ii,GAIS,"1951,1952,1953,1954,1956",7,0,https://goteborgsalliansen.se/spelare/Bertil-Andersson+II_216
278,dick andersson,IFK Göteborg,1962,1,3,https://goteborgsalliansen.se/spelare/Dick-Andersson_278
58,erik andersson,IFK Göteborg,"1923,1925,1926,1927,1929",16,0,https://goteborgsalliansen.se/spelare/Erik-Andersson_58
77,ernst andersson,IFK Göteborg,"1930,1931,1932,1933,1935,1936,1937,1940",15,0,https://goteborgsalliansen.se/spelare/Ernst-Andersson_77
52,gillis andersson,IFK Göteborg,1921,1,0,https://goteborgsalliansen.se/spelare/Gillis-Andersson_52
74,gösta andersson,IFK Göteborg,"1930,1931,1932,1933,1934",12,5,https://goteborgsalliansen.se/spelare/G%C3%B6sta-Andersson_74
218,gunnar andersson,Olympique de Marseille,1951,1,0,https://goteborgsalliansen.se/spelare/Gunnar-Andersson_218
125,gustaf andersson,GAIS,"1934,1935",2,0,https://goteborgsalliansen.se/spelare/Gustaf-Andersson_125
148,harry andersson,IS Halmia,"1938,1939",2,0,https://goteborgsalliansen.se/spelare/Harry-Andersson_148
128,henry andersson i,GAIS,"1935,1936",2,1,https://goteborgsalliansen.se/spelare/Henry-Andersson+I_128
135,henry andersson ii,GAIS,"1936,1937",2,0,https://goteborgsalliansen.se/spelare/Henry-Andersson+II_135
170,henry andersson iii,IFK Göteborg,"1944,1947,1948,1949,1950,1951,1953,1954,1955,1956",17,0,https://goteborgsalliansen.se/spelare/Henry-Andersson+III_170
54,karl andersson,IFK Göteborg,1921,1,0,https://goteborgsalliansen.se/spelare/Karl-Andersson_54
86,knut andersson,Örgryte IS,"1927,1929",5,3,https://goteborgsalliansen.se/spelare/Knut-Andersson_86
255,lars andersson,IFK Göteborg,1957,1,0,https://goteborgsalliansen.se/spelare/Lars-Andersson_255
230,leif andersson,GAIS,"1955,1957,1959,1960,1961,1962,1966",10,0,https://goteborgsalliansen.se/spelare/Leif-Andersson_230
352,michael andersson,IFK Göteborg,1988,1,1,https://goteborgsalliansen.se/spelare/Michael-Andersson_352
39,nils andersson,Örgryte IS,1921,1,0,https://goteborgsalliansen.se/spelare/Nils-Andersson_39
110,otto andersson,Örgryte IS,"1931,1932,1933,1934,1935,1936,1937,1938",18,0,https://goteborgsalliansen.se/spelare/Otto-Andersson_110
59,stellan andersson,IFK Göteborg,1923,1,0,https://goteborgsalliansen.se/spelare/Stellan-Andersson_59
191,stig andersson i,GAIS,"1948,1949,1950,1951,1952,1953",21,4,https://goteborgsalliansen.se/spelare/Stig-Andersson+I_191
271,stig andersson ii,Örgryte IS,1962,1,0,https://goteborgsalliansen.se/spelare/Stig-Andersson+II_271
17,verner andersson,IFK Göteborg,"1925,1926,1927,1928,1929",9,0,https://goteborgsalliansen.se/spelare/Verner-Andersson_17
17,verner andersson,Gårda BK,1930,1,0,https://goteborgsalliansen.se/spelare/Verner-Andersson_17
106,nils andreasson,GAIS,1930,1,0,https://goteborgsalliansen.se/spelare/Nils-Andreasson_106
