player_id,name,club,years,matches,goals,url,birthdate
143,henok abrahamsson,Gårda BK,"1938,1939",3,0,https://goteborgsalliansen.se/spelare/Henok-Abrahamsson_143,1909-10-29
166,olle Åhlund,Degerfors IF,1942,1,0,https://goteborgsalliansen.se/spelare/Olle-%C3%85hlund_166,1920-08-22
152,mauritz Åkervall,Gårda BK,1939,1,0,https://goteborgsalliansen.se/spelare/Mauritz-%C3%85kervall_152,1908-11-08
336,conny aldorsson,GAIS,1974,1,0,https://goteborgsalliansen.se/spelare/Conny-Aldorsson_336,1945-01-13
317,stefan allbäck,Örgryte IS,"1971,1975",2,0,https://goteborgsalliansen.se/spelare/Stefan-Allb%C3%A4ck_317,1947-09-15
308,gösta almbjerg,GAIS,1969,1,0,https://goteborgsalliansen.se/spelare/G%C3%B6sta-Almbjerg_308,1942-02-26
228,knut almqvist,GAIS,"1950,1953",2,1,https://goteborgsalliansen.se/spelare/Knut-Almqvist_228,1924-01-13
311,reine almqvist,IFK Göteborg,"1969,1972",2,0,https://goteborgsalliansen.se/spelare/Reine-Almqvist_311,1949-04-12
185,rolf almqvist,GAIS,1946,1,0,https://goteborgsalliansen.se/spelare/Rolf-Almqvist_185,1924-07-16
344,roger altemark,Örgryte IS,1979,1,0,https://goteborgsalliansen.se/spelare/Roger-Altemark_344,1952-08-22
328,peder amberntsson,Örgryte IS,"1972,1974",2,0,https://goteborgsalliansen.se/spelare/Peder-Amberntsson_328,1950-03-23
139,Åke andersson,GAIS,"1937,1938,1939",3,1,https://goteborgsalliansen.se/spelare/%C3%85ke-Andersson_139,1917-04-22
2,albert andersson,Örgryte IS,"1920,1921,1922,1923,1924",16,0,https://goteborgsalliansen.se/spelare/Albert-Andersson_2,1895-12-18
189,allan andersson,IFK Göteborg,1947,1,0,https://goteborgsalliansen.se/spelare/Allan-Andersson_189,1927-02-25
134,bertil andersson i,Örgryte IS,"1936,1940",3,0,https://goteborgsalliansen.se/spelare/Bertil-Andersson+I_134,1909-11-14
216,bertil andersson ii,GAIS,"1951,1952,1953,1954,1956",7,0,https://goteborgsalliansen.se/spelare/Bertil-Andersson+II_216,1929-12-16
278,dick andersson,IFK Göteborg,1962,1,3,https://goteborgsalliansen.se/spelare/Dick-Andersson_278,1943-11-13
58,erik andersson,IFK Göteborg,"1923,1925,1926,1927,1929",16,0,https://goteborgsalliansen.se/spelare/Erik-Andersson_58,1898-01-01
77,ernst andersson,IFK Göteborg,"1930,1931,1932,1933,1935,1936,1937,1940",15,0,https://goteborgsalliansen.se/spelare/Ernst-Andersson_77,1909-03-26
52,gillis andersson,IFK Göteborg,1921,1,0,https://goteborgsalliansen.se/spelare/Gillis-Andersson_52,1895-02-20
74,gösta andersson,IFK Göteborg,"1930,1931,1932,1933,1934",12,5,https://goteborgsalliansen.se/spelare/G%C3%B6sta-Andersson_74,1907-03-18
218,gunnar andersson,Olympique de Marseille,1951,1,0,https://goteborgsalliansen.se/spelare/Gunnar-Andersson_218,1928-08-14
125,gustaf andersson,GAIS,"1934,1935",2,0,https://goteborgsalliansen.se/spelare/Gustaf-Andersson_125,1912-02-16
148,harry andersson,IS Halmia,"1938,1939",2,0,https://goteborgsalliansen.se/spelare/Harry-Andersson_148,1912-12-21
128,henry andersson i,GAIS,"1935,1936",2,1,https://goteborgsalliansen.se/spelare/Henry-Andersson+I_128,1909-05-18
135,henry andersson ii,GAIS,"1936,1937",2,0,https://goteborgsalliansen.se/spelare/Henry-Andersson+II_135,1915-05-28
170,henry andersson iii,IFK Göteborg,"1944,1947,1948,1949,1950,1951,1953,1954,1955,1956",17,0,https://goteborgsalliansen.se/spelare/Henry-Andersson+III_170,1924-10-28
54,karl andersson,IFK Göteborg,1921,1,0,https://goteborgsalliansen.se/spelare/Karl-Andersson_54,1896-02-27
86,knut andersson,Örgryte IS,"1927,1929",5,3,https://goteborgsalliansen.se/spelare/Knut-Andersson_86,1903-06-16
