id,name,desc,type,url,wikidata
abdoulie-tamba,Abdoulie Tamba,"Swedish association football player, played seasons 2025, 5 matches, 0 goals",Q5,https://snokadb.se/spelare/abdoulie-tamba,
alexander-fransson,Alexander Fransson,"Swedish association football player, played seasons 2013 och 7 säsonger, 201 matches, 17 goals",Q5,https://snokadb.se/spelare/alexander-fransson,
anton-eriksson,Anton Eriksson,"Swedish association football player, played seasons 2022, 2023, 2024, 2025, 79 matches, 0 goals",Q5,https://snokadb.se/spelare/anton-eriksson,
axel-bronner,Axel Brönner,"Swedish association football player, played seasons 2025, 16 matches, 0 goals",Q5,https://snokadb.se/spelare/axel-bronner,
christoffer-nyman,Christoffer Nyman,"Swedish association football player, played seasons 2010 och 13 säsonger, 329 matches, 112 goals",Q5,https://snokadb.se/spelare/christoffer-nyman,
david-mitov-nilsson,David Mitov Nilsson,"Swedish association football player, played seasons 2009 och 7 säsonger, 136 matches, 0 goals",Q5,https://snokadb.se/spelare/david-mitov-nilsson,
filip-dagerstal,Filip Dagerstål,"Swedish association football player, played seasons 2014 och 7 säsonger, 143 matches, 6 goals",Q5,https://snokadb.se/spelare/filip-dagerstal,
isak-andri-sigurgeirsson,Isak Andri Sigurgeirsson,"Swedish association football player, played seasons 2023, 2024, 2025, 60 matches, 10 goals",Q5,https://snokadb.se/spelare/isak-andri-sigurgeirsson,
moutaz-neffati,Moutaz Neffati,"Swedish association football player, played seasons 2023, 2024, 2025, 45 matches, 2 goals",Q5,https://snokadb.se/spelare/moutaz-neffati,
noel-sernelius,Noel Sernelius,"Swedish association football player, played seasons 2023, 2024, 3 matches, 0 goals",Q5,https://snokadb.se/spelare/noel-sernelius,
stephan-bolma,Stephan Bolma,"Swedish association football player, played seasons 2023, 2024, 5 matches, 0 goals",Q5,https://snokadb.se/spelare/stephan-bolma,
theo-krantz,Theo Krantz,"Swedish association football player, played seasons 2025, 1 matches, 0 goals",Q5,https://snokadb.se/spelare/theo-krantz,
tim-prica,Tim Prica,"Swedish association football player, played seasons 2024, 2025, 52 matches, 6 goals",Q5,https://snokadb.se/spelare/tim-prica,
