snokadb_id,name,seasons,matches,goals
abdoulie-tamba,Abdoulie Tamba,2025,5,0
alexander-fransson,Alexander Fransson,2013 och 7 säsonger,201,17
amadeus-sogaard,Amadeus Sögaard,"2024, 2025",34,0
anton-eriksson,Anton Eriksson,"2022, 2023, 2024, 2025",79,0
arnor-traustason,Arnor Traustason,2014 och 6 säsonger,151,35
axel-bronner,Axel Brönner,2025,16,0
christoffer-nyman,Christoffer Nyman,2010 och 13 säsonger,329,112
david-andersson,David Andersson,2025,30,0
david-moberg-karlsson,David Moberg Karlsson,2016 och 4 säsonger,105,25
isak-andri-sigurgeirsson,Isak Andri Sigurgeirsson,"2023, 2024, 2025",60,10
ismet-lushaku,Ismet Lushaku,"2024, 2025",36,2
jesper-ceesay,Jesper Ceesay,"2023, 2024, 2025",52,1
jesper-lindvall,Jesper Lindvall,2025,2,0
jonatan-gudni-arnarsson,Jónatan Guðni Arnarsson,2025,10,0
kevin-hoog-jansson,Kevin Höög Jansson,"2023, 2024, 2025",44,2
kojo-peprah-oppong,Kojo Peprah Oppong,"2023, 2025",16,0
marcus-baggesen,Marcus Baggesen,"2023, 2024, 2025",63,0
max-watson,Max Watson,"2024, 2025",58,2
moutaz-neffati,Moutaz Neffati,"2023, 2024, 2025",45,2
sebastian-jorgensen,Sebastian Jörgensen,2025,14,5
theo-krantz,Theo Krantz,2025,1,0
tim-prica,Tim Prica,"2024, 2025",52,6
william-bergman,William Bergman,2025,1,0
yahya-kalley,Yahya Kalley,"2023, 2024, 2025",69,0
ake-andersson,Åke Andersson,"2024, 2025",19,0
abbas-hassan,Abbas Hassan,"2010, 2011, 2012",32,0
abderahman-kabous,Abderahman Kabous,2005,18,1
abdulrazaq-ishaq,Abdulrazaq Ishaq,"2020, 2021, 2022",54,2
adin-bukva,Adin Bukva,2016,3,0
alexander-jakobsen,Alexander Jakobsen,"2017, 2018, 2019",42,3
alexander-petras,Alexander Petras,"2001, 2002",16,1
alexander-radesjo,Alexander Radesjö,2005,1,0
alexander-ostlund,Alexander Östlund,"1999, 2000, 2001, 2002",78,3
alfons-sampsted,Alfons Sampsted,2017,2,0
algot-wulff,Algot Wulff,1930/31,18,0
alhaji-kamara,Alhaji Kamara,"2014, 2015",40,16
allan-hasselmark,Allan Hasselmark,"1924/25, 1925/26, 1926/27, 1927/28",80,6
allan-johansson,Allan Johansson,1925/26 och 7 säsonger,84,4
allan-pettersson,Allan Pettersson,1937/38,5,1
anders-whass,Anders Whass,2004 och 7 säsonger,187,5
anders-wikstrom,Anders Wikström,2011,28,1
andreas-alm,Andreas Alm,"2003, 2004, 2005",60,26
andreas-blomqvist,Andreas Blomqvist,2016 och 4 säsonger,55,4
andreas-dahlen,Andreas Dahlén,"2004, 2005",33,0
andreas-hadenius,Andreas Hadenius,"2014, 2015, 2016, 2017",47,1
andreas-haglund,Andreas Haglund,"2007, 2008, 2009",31,0
andreas-johansson,Andreas Johansson,2012 och 6 säsonger,205,10
andreas-lindberg,Andreas Lindberg,2003 och 5 säsonger,84,0
andreas-thomas,Andreas Thomas,"1998, 1999",17,1
andreas-vaikla,Andreas Vaikla,2016,13,0
andri-lucas-gudjohnsen,Andri Lucas Gudjohnsen,"2022, 2023",29,1
antti-sumiala,Antti Sumiala,"2002, 2003",33,20
ari-freyr-skulason,Ari Freyr Skúlason,"2021, 2022, 2023",64,2
armando-ibrakovic,Armando Ibrakovic,"2008, 2009",23,1
armin-tankovic,Armin Tankovic,"2009, 2010, 2011, 2012",50,4
arne-andersson,Arne Andersson,1937/38,2,0
arne-eriksson,Arne Eriksson,1935/36,1,1
arne-rehnberg,Arne Rehnberg,1969,7,0
arne-tornqvist,Arne Törnqvist,"1931/32, 1932/33, 1935/36",3,0
arnor-sigurdsson,Arnor Sigurdsson,"2017, 2018, 2022, 2023",46,14
arthur-astrand,Arthur Åstrand,"1924/25, 1925/26, 1928/29, 1929/30",41,1
astrit-ajdarevic,Astrit Ajdarevic,"2011, 2012",40,6
axel-jansson,Axel Jansson,1924/25 och 5 säsonger,44,10
axel-pressfeldt,Axel Pressfeldt,1934/35,8,2
axel-ramsten,Axel Ramsten,1931/32,1,0
aziz-tafer,Aziz Tafer,2005,4,1
balazs-raboczki,Balázs Rabóczkí,2002,26,0
bengt-carlson,Bengt Carlson,1947/48,2,0
bengt-carlsson,Bengt Carlsson,1924/25 och 4 säsonger,63,12
bengt-flisberg,Bengt Flisberg,1931/32 och 4 säsonger,81,53
bengt-gustavsson,Bengt Gustavsson,1947/48 och 8 säsonger,147,17
bengt-lindstrom,Bengt Lindström,1966 och 7 säsonger,143,0
bengt-nilsson,Bengt Nilsson,1950/51,1,0
bengt-nyholm,Bengt Nyholm,1948/49 och 14 säsonger,295,0
bengt-rosen,Bengt Rosén,"1952/53, 1953/54",15,2
bennard-yao-kumordzi,Bennard Yao Kumordzi,"2005, 2006",9,2
benny-wendt,Benny Wendt,1969 och 6 säsonger,124,51
bert-ottar-blom,Bert Ottar Blom,"1959, 1967, 1968, 1969",25,0
bert-olof-haglund,Bert-Olof Haglund,"1964, 1965, 1967",9,1
bertil-andersson,Bertil Andersson,1929/30 och 8 säsonger,129,40
bertil-remnegard,Bertil Remnegård,"1949/50, 1950/51",21,6
bill-bjorklund,Bill Björklund,1961 och 7 säsonger,148,24
birger-lonn,Birger Lönn,"1962, 1963, 1964",8,0
birger-rosengren,Birger Rosengren,1935/36 och 14 säsonger,265,13
birkir-kristinsson,Birkir Kristinsson,1998,3,0
bjorn-franren,Björn Franrén,"1968, 1969",14,0
bjorn-nordqvist,Björn Nordqvist,1961 och 11 säsonger,245,7
bo-la-fleur,Bo la Fleur,1965 och 5 säsonger,76,1
bo-lagerlund,Bo Lagerlund,"1962, 1963, 1964, 1965",49,3
bo-larsson,Bo Larsson,"1976, 1977, 1979, 1980",23,0
bo-nilsson,Bo Nilsson,"1970, 1971",16,0
bo-nilsson-nilmert,Bo Nilsson - Nilmert,1967,3,0
bo-ramsten,Bo Ramsten,"1930/31, 1932/33",7,4
bo-stenqvist,Bo Stenqvist,"1972, 1973, 1974, 1975",28,3
bobbie-friberg-da-cruz,Bobbie Friberg da Cruz,"2011, 2012, 2013",55,4
brian-mcdermott,Brian McDermott,1984,17,5
bror-norrman,Bror Norrman,1929/30,3,1
bruno-carlberg,Bruno Carlberg,"1924/25, 1925/26",25,0
bruno-santos,Bruno Santos,2004 och 5 säsonger,92,40
brynolf-ekelin,Brynolf Ekelin,"1924/25, 1925/26, 1926/27, 1927/28",45,38
caio-mendes,Caio Mendes,"2010, 2011",16,0
carl-bjork,Carl Björk,"2020, 2021, 2023, 2024",65,9
carl-erik-lindestrom,Carl-Erik Lindeström,1924/25,1,0
carl-evert-westerlund,Carl-Evert Westerlund,1934/35 och 5 säsonger,83,0
christer-eriksson,Christer Eriksson,"1986, 1987, 1988",15,0
christer-hult,Christer Hult,1964 och 11 säsonger,190,11
christer-olsson,Christer Olsson,1964,1,0
christer-sjolund,Christer Sjölund,1967,8,3
christopher-josue-meneses-barrantes,Christopher Josue Meneses Barrantes,"2013, 2014",32,2
christopher-telo,Christopher Telo,2007 och 14 säsonger,251,21
curt-bernsten,Curt Bernsten,1976 och 4 säsonger,92,10
curt-lovgren,Curt Lövgren,"1956/57, 1957/58, 1959, 1960",19,0
curt-spogardh,Curt Spogardh,1948/49,4,0
dago-funes,Dago Funes,"2004, 2005",47,9
dan-larsson,Dan Larsson,"1984, 1985",25,0
dan-svensson,Dan Svensson,1984,1,0
dani-hamzo,Dani Hamzo,1995,1,0
daniel-bamberg,Daniel Bamberg,2006 och 4 säsonger,116,25
daniel-fredriksson,Daniel Fredriksson,2005,3,0
daniel-fritz-eid,Daniel Fritz Eid,"2022, 2023, 2024",67,1
daniel-sjolund,Daniel Sjölund,"2015, 2016, 2017, 2018",88,6
darko-mavrak,Darko Mavrak,"1996, 1997",27,1
darrell-kamdem-tibell,Darrell Kamdem Tibell,2022,3,0
david-adolfsson,David Adolfsson,1927/28 och 5 säsonger,109,9
david-boo-wiklander,David Boo Wiklander,2010 och 5 säsonger,139,1
david-mitov-nilsson,David Mitov Nilsson,2009 och 7 säsonger,136,0
david-nordbeck,David Nordbeck,"2006, 2007, 2008",42,2
dawid-banaczek,Dawid Banaczek,"2001, 2002, 2003",33,4
dick-last,Dick Last,"1996, 1997",49,0
didace-burubwa,Didace Burubwa,2023,1,0
dime-jankulovski,Dime Jankulovski,2003,13,0
dino-salihovic,Dino Salihovic,"2021, 2022, 2024",41,0
diogo-oliveira,Diogo Oliveira,2006,8,0
djordje-mrdjanin,Djordje Mrdjanin,"2008, 2009",15,1
donny-sundell,Donny Sundell,"1994, 1995",3,0
eddie-gustafsson,Eddie Gustafsson,1995 och 5 säsonger,87,0
edvard-skagestad,Edvard Skagestad,2014,18,2
edvin-johansson,Edvin Johansson,"1924/25, 1927/28, 1928/29, 1929/30",47,5
edvin-tellgren,Edvin Tellgren,2021,1,0
egzon-binaku,Egzon Binaku,"2019, 2020, 2021, 2022",26,0
einar-karlsson,Einar Karlsson,"1949/50, 1950/51, 1951/52, 1952/53",58,6
einar-steen,Einar Stéen,1940/41 och 8 säsonger,182,0
einar-wallsing,Einar Wallsing,1927/28,2,0
eine-fredriksson,Eine Fredriksson,1977 och 6 säsonger,151,15
eirik-dybendal,Eirik Dybendal,2006 och 4 säsonger,122,17
elis-hallberg,Elis Hallberg,"1936/37, 1937/38",2,0
elof-pettersson,Elof Pettersson,"1924/25, 1925/26, 1926/27",31,2
elon-lilden,Elon Lildén,1932/33,1,0
elon-milden,Elon Mildén,"1933/34, 1934/35",11,0
eman-markovic,Eman Markovic,2022,15,1
emanuel-chabo,Emanuel Chabo,2021,1,0
emil-roback,Emil Roback,2023,4,0
emir-kujovi,Emir Kujović,"2013, 2014, 2015, 2016",59,38
eric-smith,Eric Smith,"2016, 2017, 2018, 2020",69,0
erik-holmqvist,Erik Holmqvist,1939/40 och 11 säsonger,229,70
erik-hoog,Erik Höög,1937/38,2,0
erik-jansson,Erik Jansson,2010,1,0
erik-karlsson,Erik Karlsson,1936/37,2,0
erik-norrby,Erik Norrby,"1994, 1995",26,0
evert-lager,Evert Lager,1926/27 och 9 säsonger,131,94
felix-magro,Felix Magro,2008,24,2
filip-apelstav,Filip Apelstav,1996 och 5 säsonger,108,5
filip-dagerstal,Filip Dagerstål,2014 och 7 säsonger,143,6
fredrik-bild,Fredrik Bild,"1999, 2000, 2001, 2002",101,9
fredrik-enerby,Fredrik Enerby,1994,1,0
fritiof-hellichius,Fritiof Hellichius,"2022, 2023",7,0
gardar-gunnlaugsson,Gardar Gunnlaugsson,"2006, 2007, 2008",49,29
gentrit-citaku,Gentrit Citaku,"2013, 2015, 2016",12,0
georg-ericson,Georg Ericson,1938/39 och 10 säsonger,105,45
georg-hogvall,Georg Högvall,"1924/25, 1925/26, 1926/27, 1927/28",76,5
george-parris,George Parris,1995,4,0
georgios-karathanasis,Georgios Karathanasis,"1990, 1991, 2002, 2003",49,3
gerhard-torstensson,Gerhard Torstensson,1976,2,0
gert-hellberg,Gert Hellberg,1971 och 7 säsonger,179,12
godswill-ekpolo,Godswill Ekpolo,2022,28,0
grant-igesund,Grant Igesund,"2005, 2006",14,3
gudmundur-mete,Gudmundur Mete,"2003, 2004",27,1
gudmundur-thorarinsson,Gudmundur Thórarinsson,"2017, 2018, 2019",84,4
gunnar-blomqvist,Gunnar Blomqvist,"1937/38, 1938/39",20,4
gunnar-goransson,Gunnar Göransson,1937/38,9,0
gunnar-heidar-thorvaldsson,Gunnar Heidar Thorvaldsson,"2011, 2012, 2013",70,34
gunnar-karlsson,Gunnar Karlsson,1957/58,6,1
gunnar-moller,Gunnar Möller,1934/35,8,0
gunnar-nordahl,Gunnar Nordahl,1944/45 och 4 säsonger,92,93
gunnar-persson,Gunnar Persson,1929/30,1,0
gunnar-ragnar,Gunnar Ragnar,1925/26 och 10 säsonger,183,1
gunnar-stahl,Gunnar Ståhl,1925/26,4,2
gunnar-thor-gunnarsson,Gunnar Thor Gunnarsson,"2008, 2009, 2010",43,1
gustav-abrahamsson,Gustav Abrahamsson,1928/29,10,3
gustav-adolfsson,Gustav Adolfsson,1929/30,20,1
goran-bergort,Göran Bergort,1991 och 5 säsonger,117,6
goran-e-karlsson,Göran E Karlsson,"1980, 1981",41,3
goran-gustafsson,Göran Gustafsson,1950/51,1,0
goran-holm,Göran Holm,"1975, 1976",2,0
goran-holter,Göran Holter,1986 och 6 säsonger,137,36
goran-landberg,Göran Landberg,1949/50,3,0
goran-linder,Göran Linder,1943/44,1,0
gosta-banan-andersson,"Gösta ""Banan"" Andersson",1924/25 och 4 säsonger,101,8
gosta-andersson,Gösta Andersson,"1934/35, 1935/36, 1936/37, 1937/38",25,10
gosta-berglund,Gösta Berglund,1927/28 och 5 säsonger,107,0
gosta-lofgren,Gösta Löfgren,"1960, 1961, 1962, 1963",42,18
gosta-malm,Gösta Malm,1940/41 och 9 säsonger,188,23
gosta-nordahl,Gösta Nordahl,1949/50 och 4 säsonger,56,14
gosta-persson,Gösta Persson,1954/55 och 6 säsonger,62,11
gosta-ragnar,Gösta Ragnar,1930/31,2,0
gote-anrell,Göte Anrell,1947/48 och 8 säsonger,132,4
gote-ortegren,Göte Örtegren,1939/40 och 4 säsonger,25,20
halvar-carlbom,Halvar Carlbom,1936/37 och 12 säsonger,215,77
hamilton-thorp,Hamilton Thorp,2003,13,1
hans-eriksson,Hans Eriksson,1986,1,0
hans-eskilsson,Hans Eskilsson,"1985, 1986, 1987",56,7
hans-holmertz,Hans Holmertz,"1974, 1975, 1976",64,8
hans-karlsson,Hans Karlsson,1961,1,0
hans-larsson,Hans Larsson,1967 och 7 säsonger,140,17
hans-ottosson,Hans Ottosson,1975,2,0
hans-rosander,Hans Rosander,1960 och 5 säsonger,100,2
hans-ahmansson,Hans Åhmansson,"1974, 1975, 1976",27,0
harald-brask,Harald Brask,1940/41,8,0
harald-nyman,Harald Nyman,1924/25,1,0
haris-laitinen,Haris Laitinen,2006,25,6
harry-bild,Harry Bild,1956/57 och 7 säsonger,175,119
harry-fyhrberg,Harry Fyhrberg,1928/29,5,0
harry-risberg,Harry Risberg,"1938/39, 1939/40",2,0
harry-stanley,Harry Stanley,"1924/25, 1925/26, 1926/27",25,9
harry-westerlund,Harry Westerlund,"1936/37, 1937/38",14,0
hasan-cetinkaya,Hasan Cetinkaya,"1995, 1996, 1997, 1998",45,4
henric-karlsson,Henric Karlsson,1997,1,0
henrik-castegren,Henrik Castegren,2016 och 4 säsonger,80,3
henrik-skarnell,Henrik Skärnell,"1924/25, 1925/26",3,0
henrik-svedberg,Henrik Svedberg,2009,1,0
henry-kallgren,Henry Källgren,1949/50 och 9 säsonger,181,126
herbert-sandin,Herbert Sandin,1950/51 och 7 säsonger,174,66
holger-nyman,Holger Nyman,1947/48 och 10 säsonger,185,3
hakan-forsberg,Håkan Forsberg,1969,3,0
hakan-larsson,Håkan Larsson,"1978, 1979, 1980, 1981",54,1
hakan-lindman,Håkan Lindman,1988,0,1
hakan-lundstrom,Håkan Lundström,1979 och 4 säsonger,110,1
hakan-malmqvist,Håkan Malmqvist,1975,2,0
hakan-pettersson,Håkan Pettersson,1978 och 9 säsonger,163,12
hakan-spjuth,Håkan Spjuth,"1983, 1984",22,3
ian-smith,Ian Smith,"2018, 2019",37,2
igor-ponomarjev,Igor Ponomarjev,1989,17,3
imad-khalili,Imad Khalili,2008 och 5 säsonger,101,29
inge-danielsson,Inge Danielsson,1973,3,0
ingemar-johansson,Ingemar Johansson,1947/48,2,0
ingemar-knutsson,Ingemar Knutsson,"1945/46, 1946/47, 1950/51",10,0
isaac-kiese-thelin,Isaac Kiese Thelin,"2012, 2013, 2014",48,6
isak-bergmann-johannesson,Isak Bergmann Jóhannesson,"2019, 2020, 2021",44,5
isak-pettersson,Isak Pettersson,"2018, 2019, 2020",90,0
isak-ssewankambo,Isak Ssewankambo,2024,13,0
issah-mohammed,Issah Mohammed,2002,11,1
ivo-vazgec,Ivo Vazgec,2009,11,0
jacob-ortmark,Jacob Ortmark,"2022, 2023, 2024",49,6
james-frempong,James Frempong,"2011, 2012, 2013, 2014",37,2
jan-fimpen-eriksson,"Jan ""Fimpen"" Eriksson","1984, 1985",20,1
jan-connman,Jan Connman,1967,7,0
jan-eriksson,Jan Eriksson,"1983, 1991, 1992",45,4
jan-heden,Jan Hedén,1987 och 4 säsonger,67,1
jan-hellstrom,Jan Hellström,1981 och 11 säsonger,232,107
jan-jansson,Jan Jansson,1993 och 7 säsonger,100,11
jan-johnsson,Jan Johnsson,"1976, 1977, 1979, 1980",19,1
jan-kalen,Jan Kalén,1982 och 11 säsonger,170,6
jan-olsson,Jan Olsson,1961 och 5 säsonger,48,3
jan-svensson,Jan Svensson,1977 och 8 säsonger,185,39
jan-ake-jonsson,Jan-Åke Jonsson,1974 och 11 säsonger,260,0
jani-sarajarvi,Jani Sarajärvi,"2002, 2003",30,0
janne-hietanen,Janne Hietanen,1998,2,0
jean-carlos-de-brito,Jean Carlos De Brito,2022,8,0
jens-nilsson,Jens Nilsson,"1991, 1992",16,4
jesper-tolinsson,Jesper Tolinsson,2023,10,0
jevgenij-charlitov,Jevgenij Charlitov,1997,1,0
jevgenij-kuznetsov,Jevgenij Kuznetsov,"1990, 1991, 1992, 1993",61,7
joachim-acheampong,Joachim Acheampong,"1994, 1995",22,1
joe-spiteri,Joe Spiteri,2001,8,1
joel-enarsson,Joel Enarsson,"2015, 2016",15,0
johan-roxstrom,Johan Roxström,2003,7,0
johan-soderberg,Johan Söderberg,"2003, 2004, 2005",15,0
johannes-kristinn-bjarnason,Jóhannes Kristinn Bjarnason,2021,1,0
johannes-vall,Johannes Vall,"2017, 2018, 2019",6,0
john-ohlin,John Öhlin,1924/25,1,0
