Player
Adam Ben Lamin
Adam Gemheden
Adnan Maric
Adrian Edqvist
Alexander Eriksson
Alexander Jallow
Alexander Nilsson
Amar Muhsin
Amir Al Ammari
Anas Al Asbahi
Andreas Karlsson
Anmar Kiwarkis
Anton Cajtoft
Anton Thorsson
Arvid Eriksson
Axel Edgren
Benjamin Tannus
Christian Azizsson
Christoffer Hellstrom
Colin Farnerud
Daniel Ljung
Daniel Markovski
Daniel Strandsater
Dzenis Kozica
Edin Hamidovic
Elias Gustafsson
Elias Nordstrom
Enock Kwakwa
Eric Johana Omondi
Erik Johansson
Fabio Gama
Faiz Benatallah
Felix Jakobsson
Frank Pettersson
Fredric Fendrich
Hampus Israelsson
Hugo Lyck
Igor Popanici
Isak Ellbring
Jacob Shamoun
Jakob Orlov
Jesper Manns
Jesper Svensson
Jetmir Haliti
Joakim Karlsson
Jonathan Drott
Julius Lindgren
Junes Barny
Kevin Rodeblad
Kristoffer Grauberg Lepik
Linus Lyck
Lukas Eek
Malkolm Moenza
Marcus Degerlund
Marko Nikolic
Mikael Marques
Milian Sipos
Mohammad Fazal
Olle Almstrom
Perparim Beqaj
Philip Wistrom
Robin Book
Samuel Adrian
Sebastian Crona
Simon Svensson
Tom Siwe
Tommy Thelin
