#entry_id	catalog	external_id	external_url	name	description	entry_type	mnm_user_id	q	matched_on	matched_by_username	auxiliary_data	born	died	dates_in_wikidata	lat	lon	multi_match_candidates
281287925	7738	4	https://www.aikstats.se/player.php?id=4	Per "Pertan" Karlsson	Swedish association football player, played for AIK, Back, active 1998-2022	Q5	4	Q205479	20260327210210	Auxiliary data matcher							
281287926	7738	8	https://www.aikstats.se/player.php?id=8	Daniel "Tjerna" Tjernström	Swedish association football player, played for AIK, Mittfältare, active 1999-2013	Q5	355014	Q1162941	20260327203714	Salgo60							
281287927	7738	200	https://www.aikstats.se/player.php?id=200	Nils-Eric "Nisse" Johansson	Swedish association football player, played for AIK, Back, active 1997-2018	Q5	4	Q699824	20260327210210	Auxiliary data matcher							
281287928	7738	543	https://www.aikstats.se/player.php?id=543	Sven "Dala" Dahlkvist	Swedish association football player, played for AIK, Innerback, active 1974-1987	Q5	4	Q1368236	20260327210210	Auxiliary data matcher							
281287929	7738	270	https://www.aikstats.se/player.php?id=270	Gustav "Gurra" Sjöberg	Swedish association football player, played for AIK, Målvakt, active 1929-1950	Q5	4	Q1369574	20260327210210	Auxiliary data matcher							
281287930	7738	535	https://www.aikstats.se/player.php?id=535	Göran "GG" Göransson	Swedish association football player, played for AIK, Mittfältare, active 1970-1990	Q5	4	Q1417354	20260327210210	Auxiliary data matcher							
281287931	7738	59	https://www.aikstats.se/player.php?id=59	Krister "Krille" Nordin	Swedish association football player, played for AIK, Mittfältare, active 1992-2004	Q5	4	Q1455128	20260327210210	Auxiliary data matcher							
281287932	7738	1078	https://www.aikstats.se/player.php?id=1078	Henok Goitom	Swedish association football player, played for AIK, Forward, active 2012-2021	Q5	4	Q372336	20260327210210	Auxiliary data matcher							
281287933	7738	81	https://www.aikstats.se/player.php?id=81	Kari "Gary" Sundgren	Swedish association football player, played for AIK, Ytterback, active 1987-2003	Q5	355014	Q1336530	20260327211725	Salgo60							
281287934	7738	610	https://www.aikstats.se/player.php?id=610	Thomas "Tolle" Lagerlöf	Swedish association football player, played for AIK, Mittfältare, active 1985-2008	Q5	4	Q465704	20260327210210	Auxiliary data matcher							
281287935	7738	299	https://www.aikstats.se/player.php?id=299	Börje Leander	Swedish association football player, played for AIK, Centerhalv, active 1938-1953	Q5	4	Q768739	20260327210211	Auxiliary data matcher							
281287936	7738	198	https://www.aikstats.se/player.php?id=198	Björn "Björne" Kindlund	Swedish association football player, played for AIK, Back, active 1978-1993	Q5	4	Q879659	20260327210211	Auxiliary data matcher							
281287937	7738	255	https://www.aikstats.se/player.php?id=255	Sven "Svenne, Vrålis" Andersson	Swedish association football player, played for AIK, Högerback, active 1928-1941	Q5	4	Q1115797	20260327210211	Auxiliary data matcher							
281287938	7738	183	https://www.aikstats.se/player.php?id=183	Björn Lundberg	Swedish association football player, played for AIK, Forward, active 1967-1980	Q5											
281287939	7738	12	https://www.aikstats.se/player.php?id=12	Kenny Pavey	Swedish association football player, played for AIK, Höger mittfältare, active 2006-2015	Q5	4	Q1370473	20260327210211	Auxiliary data matcher							
281287940	7738	63	https://www.aikstats.se/player.php?id=63	Stefan "Ishi" Ishizaki	Swedish association football player, played for AIK, Mittfältare, active 1999-2017	Q5	4	Q442641	20260327210211	Auxiliary data matcher							
281287941	7738	259	https://www.aikstats.se/player.php?id=259	Eric "Lillis" Persson	Swedish association football player, played for AIK, Högerinner, active 1929-1959	Q5	26041	Q954668	20260328134208	Jssfrk							
281287942	7738	427	https://www.aikstats.se/player.php?id=427	Lennart Backman	Swedish association football player, played for AIK, Yttermittfältare, active 1959-1967	Q5	4	Q246944	20260327210211	Auxiliary data matcher							
281287943	7738	184	https://www.aikstats.se/player.php?id=184	Yngve Leback	Swedish association football player, played for AIK, Forward, active 1971-1978	Q5	4	Q1727956	20260327210211	Auxiliary data matcher							
281287944	7738	437	https://www.aikstats.se/player.php?id=437	Björn "Lill-Garvis" Carlsson	Swedish association football player, played for AIK, Forward, active 1954-1968	Q5	26041	Q115521225	20260328134315	Jssfrk							
281287945	7738	304	https://www.aikstats.se/player.php?id=304	Henry "Garvis" Carlsson	Swedish association football player, played for AIK, Inner, active 1939-1966	Q5	4	Q1375621	20260327210211	Auxiliary data matcher							
281287946	7738	22	https://www.aikstats.se/player.php?id=22	Mats Rubarth	Swedish association football player, played for AIK, Vänster mittfältare, active 2001-2008	Q5	355014	Q1909061	20260327204233	Salgo60							
281287947	7738	1103	https://www.aikstats.se/player.php?id=1103	Nabil "Nabbe" Bahoui	Swedish association football player, played for AIK, Forward, active 2012-2022	Q5	4	Q1184663	20260327210211	Auxiliary data matcher							
281287948	7738	284	https://www.aikstats.se/player.php?id=284	Erik "Jerker" Almgren	Swedish association football player, played for AIK, Halvback, active 1934-1964	Q5	4	Q937989	20260327210211	Auxiliary data matcher							
281287949	7738	571	https://www.aikstats.se/player.php?id=571	Bernt Ljung	Swedish association football player, played for AIK, Målvakt, active 1981-1992	Q5	4	Q826876	20260327210211	Auxiliary data matcher							
281287950	7738	987	https://www.aikstats.se/player.php?id=987	Alexander Milošević	Swedish association football player, played for AIK, Back, active 2011-2019	Q5	4	Q2117450	20260327210211	Auxiliary data matcher							
281287951	7738	455	https://www.aikstats.se/player.php?id=455	Owe "Fiskar-Owe" Ohlsson	Swedish association football player, played for AIK, Forward, active 1964-1976	Q5	4	Q722800	20260327210211	Auxiliary data matcher							
281287952	7738	552	https://www.aikstats.se/player.php?id=552	Ove "Ryssen, Ruben" Rübsamen	Swedish association football player, played for AIK, Forward, active 1977-1985	Q5	4	Q2042250	20260327210211	Auxiliary data matcher							
281287953	7738	332	https://www.aikstats.se/player.php?id=332	Lennart Carlsson	Swedish association football player, played for AIK, Back, active 1947-1959	Q5	4	Q5603309	20260327210211	Auxiliary data matcher							
281287954	7738	217	https://www.aikstats.se/player.php?id=217	Per "Pära, Napoleon" Kaufeldt	Swedish association football player, played for AIK, Center, active 1918-1955	Q5	4	Q1370058	20260327210211	Auxiliary data matcher							
281287955	7738	840	https://www.aikstats.se/player.php?id=840	Martin Lorentzson	Swedish association football player, played for AIK, Ytterback, active 2010-2015	Q5	4	Q2735478	20260327210211	Auxiliary data matcher							
281287956	7738	188	https://www.aikstats.se/player.php?id=188	Pascal "Pagge" Simpson	Swedish association football player, played for AIK, Forward, active 1991-1998	Q5	4	Q1383089	20260327210211	Auxiliary data matcher							
281287957	7738	424	https://www.aikstats.se/player.php?id=424	Arne "Lunkan" Lundqvist	Swedish association football player, played for AIK, Målvakt, active 1955-1970	Q5											
281287958	7738	1	https://www.aikstats.se/player.php?id=1	Daniel Örlund	Swedish association football player, played for AIK, Målvakt, active 2002-2010	Q5	4	Q182466	20260327210211	Auxiliary data matcher							
281287959	7738	575	https://www.aikstats.se/player.php?id=575	Thomas Bergman	Swedish association football player, played for AIK, Mittfältare, active 1982-1988	Q5	4	Q78787302	20260327210211	Auxiliary data matcher							
281287960	7738	179	https://www.aikstats.se/player.php?id=179	Börje Leback	Swedish association football player, played for AIK, Mittfältare, active 1971-1978	Q5	4	Q5942518	20260327210211	Auxiliary data matcher							
281287961	7738	358	https://www.aikstats.se/player.php?id=358	Gösta "Pröjsarn" Nilsson	Swedish association football player, played for AIK, Forward, active 1945-1955	Q5	4	Q126483139	20260327210211	Auxiliary data matcher							
281287962	7738	276	https://www.aikstats.se/player.php?id=276	Valter "Valle" Sköld	Swedish association football player, played for AIK, Back, active 1933-1942	Q5	4	Q15965281	20260327210211	Auxiliary data matcher							
281287963	7738	1168	https://www.aikstats.se/player.php?id=1168	Ebenezer Ofori	Swedish association football player, played for AIK, Ytterback, active 2013-2022	Q5	4	Q15663340	20260327210211	Auxiliary data matcher							
281287964	7738	91	https://www.aikstats.se/player.php?id=91	Martin Kayongo-Mutumba	Swedish association football player, played for AIK, Mittfältare, active 1999-2013	Q5	355014	Q714662	20260327214116	Salgo60							
281287965	7738	592	https://www.aikstats.se/player.php?id=592	Kim Bergstrand	Swedish association football player, played for AIK, Forward, active 1983-1994	Q5	4	Q1741459	20260327210211	Auxiliary data matcher							
